Key,en,hu,reviewed
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,"Kérjük, olvassa el az Egyéni textúrák használata kézikönyvet a funkció használata előtt.",False
MainMenu.Editor.Texture.CustomTexture,Custom Texture,Egyedi textúra,False
MainMenu.Editor.Texture.Step1,Step 1,1. lépés,False
MainMenu.Editor.Texture.Step2,Step 2,2. lépés,False
MainMenu.Editor.Texture.Step3,Step 3,3. lépés,False
MainMenu.Editor.Texture.Step4,Step 4,4. lépés,False
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,Javítsa ki a kiválasztott körvonalat,False
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,Állítsa vissza a kiválasztott atlaszt,False
MainMenu.Editor.Texture.TextureUtility,Texture Utility,Texture Utility,False
MainMenu.Editor.Texture.SelectAll,Select All,Válassza az Összes lehetőséget,False
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,Kiválasztás váltása,False
MainMenu.Editor.Texture.AtlasList,Atlas List,Atlasz lista,False
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,"Ezzel visszaállítja a kiválasztott atlaszoldalakat a beépített verziókra. A nem mentett szerkesztések elvesznek, és nem állíthatók vissza. Folytatja?",False
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,Paletta algoritmus,False
MainMenu.Editor.Texture.AlphaBleedWarning,This will overwrite the selected texture files and cannot be undone. Continue?,"Ez felülírja a kiválasztott textúrafájlokat, és nem vonható vissza. Folytatja?",False
MainMenu.TranslationInfo.Message,"Some languages are translated by our community or assisted by machine translation, so quality may vary.

You can change the language in Settings.

See our {0}.

Want to contribute? Join us on {1}.","Egyes nyelveket közösségünk fordít, vagy gépi fordítás segíti elő, így a minőség változhat.

A nyelvet a Beállításokban módosíthatja.

Tekintse meg {0}.

Szeretnél hozzájárulni? Csatlakozz hozzánk a {1}.",False
MainMenu.TranslationInfo.ContributorsLinkLabel,community contributors on GitHub,közösségi közreműködők a GitHubon,False
MainMenu.TranslationInfo.DontShowAgain,Don't show this again,Ne mutasd ezt újra,False
MainMenu.Editor.AssetTypeWS,Workshop,Műhely,False
MainMenu.Editor.WorkshopPublishPopup.Title.Model,Publish Model to Workshop,Modell közzététele a műhelyben,False
MainMenu.Editor.WorkshopPublishPopup.Title.Character,Publish Character to Workshop,Karakter közzététele a műhelyben,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode,Upload mode,Feltöltés mód,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.CreateNew,Create new item,Új elem létrehozása,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.UpdateExisting,Update existing item,Meglévő elem frissítése,False
MainMenu.Editor.WorkshopPublishPopup.ItemtoUpdate,Item to update,Frissítendő elem,False
MainMenu.Editor.WorkshopPublishPopup.Field.Title,Title,Cím,False
MainMenu.Editor.WorkshopPublishPopup.Field.Description,Description,Leírás,False
MainMenu.Editor.WorkshopPublishPopup.Field.Visibility,Visibility,Láthatóság,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Public,Public,Nyilvános,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.FriendsOnly,Friends Only,Csak barátok,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Private,Private,Magán,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Unlisted,Unlisted,Nem listázott,False
MainMenu.Editor.WorkshopPublishPopup.Field.ChangeNote,Change note,Jegyzet módosítása,False
MainMenu.Editor.WorkshopPublishPopup.Field.RequiredItems,Required Items (PublishedFileIds),Kötelező elemek (PublishedFileIds),False
MainMenu.Editor.WorkshopPublishPopup.Field.PreviewImagePath,Preview image (PNG/JPG path),Előnézeti kép (PNG/JPG elérési út),False
MainMenu.Editor.WorkshopPublishPopup.Button.Publish,Publish,Közzététel,False
MainMenu.Editor.WorkshopPublishPopup.Button.Cancel,Cancel,Mégse,False
MainMenu.Editor.WorkshopPublishPopup.Picker.Loading,(loading...),(terhelés...),False
MainMenu.Editor.WorkshopPublishPopup.Picker.NoPublishedItems,(no published items),(nincs közzétett cikk),False
MainMenu.Editor.WorkshopPublishPopup.Picker.SteamNotReady,(Steam not ready),(A Steam nincs kész),False
MainMenu.Editor.WorkshopPublishPopup.Status.WaitingForSteamMetadata,Waiting for Steam metadata...,Várakozás a Steam metaadatokra...,False
MainMenu.Editor.WorkshopPublishPopup.Status.SelectItemToUpdate,Select a published Workshop item to update.,Válasszon ki egy frissíteni kívánt műhelyelemet.,False
MainMenu.Editor.WorkshopPublishPopup.Status.TitleRequired,Title is required.,A cím kötelező.,False
MainMenu.Editor.WorkshopPublishPopup.Status.FixPreviewBeforePublishing,Fix the preview image before publishing.,Közzététel előtt javítsa ki az előnézeti képet.,False
MainMenu.Editor.WorkshopPublishPopup.Status.CreatingItem,Creating Workshop item...,Workshop elem létrehozása...,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadingItem,Uploading Workshop item...,Workshop elem feltöltése...,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewNotFound,Preview image file not found.,Az előnézeti képfájl nem található.,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewInvalidFormat,"Preview image must be a PNG, JPG, or GIF.","Az előnézeti képnek PNG, JPG vagy GIF formátumúnak kell lennie.",False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewTooLarge,Preview image must be 1 MB or smaller (currently {0} KB).,Az előnézeti kép 1 MB vagy kisebb lehet (jelenleg {0} KB).,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewReadFailed,Failed to read preview image: {0},Nem sikerült beolvasni az előnézeti képet: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewDecodeFailed,Preview image could not be decoded.,Az előnézeti kép nem dekódolható.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdInvalid,Required PublishedFileId is invalid: {0},A kötelező PublishedFileId érvénytelen: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.SteamNotInitialized,Steam is not initialized.,A Steam nincs inicializálva.,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadSucceeded,Workshop item uploaded: {0},Műhelyelem feltöltve: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.TempFolderModified,Publish staging files were modified. Close this dialog and publish again.,"A közzétételi staging fájlok módosultak. Zárja be ezt a párbeszédpanelt, és tegye közzé újra.",False
MainMenu.Editor.WorkshopPublishPopup.Status.ValidatingRequiredItems,Verifying required Workshop items...,Szükséges műhelyelemek ellenőrzése...,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdsQueryFailed,Failed to verify required Workshop items.,Nem sikerült ellenőrizni a szükséges műhelyelemeket.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdNotFound,Workshop item {0} was not found or is not accessible.,A(z) {0} műhelyelem nem található vagy nem érhető el.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdWrongApp,Workshop item {0} does not belong to this app.,A(z) {0} műhelyelem nem ehhez az alkalmazáshoz tartozik.,False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureFailed,Viewport capture failed: {0},A nézetablak rögzítése nem sikerült: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureSucceeded,Preview captured from viewport.,A nézetablakból rögzített előnézet.,False
MainMenu.Editor.FileNameValidation.Label.Character,Character name,Karakter neve,False
MainMenu.Editor.FileNameValidation.Label.Scene,Scene name,A jelenet neve,False
MainMenu.Editor.FileNameValidation.Label.SceneList,Scene list name,Jelenetlista neve,False
MainMenu.Editor.FileNameValidation.Empty,{0} cannot be empty.,A(z) {0} nem lehet üres.,False
MainMenu.Editor.FileNameValidation.TooLong,{0} cannot exceed {1} characters.,A {0} nem haladhatja meg a {1} karaktert.,False
MainMenu.Editor.FileNameValidation.InvalidCharacter,{0} cannot contain '{1}'.,A(z) {0} nem tartalmazhatja a következőt: „{1}”.,False
MainMenu.Editor.FileNameValidation.WindowsReserved,'{1}' is a reserved name and cannot be used.,"A „{1}” egy lefoglalt név, és nem használható.",False
MainMenu.Editor.FileNameValidation.AppReserved,'{1}' is reserved and cannot be used as {0}.,"""{1}"" le van foglalva, és nem használható {0} néven.",False
MainMenu.Editor.FileNameValidation.EndsWithDot,{0} cannot end with a dot.,A(z) {0} nem végződhet ponttal.,False
MainMenu.Editor.FileNameValidation.DuplicateInList,A {0} with this name already exists in the list.,Az ilyen nevű {0} már létezik a listában.,False
MainMenu.Editor.Confirmation.Label.Character,Character,Karakter,False
MainMenu.Editor.Confirmation.Label.Scene,Scene,Színhely,False
MainMenu.Editor.Confirmation.Label.SceneList,Scene list,Jelenetek listája,False
MainMenu.Editor.DeleteConfirmation,"Are you sure you want to delete {0} ""{1}""? This action cannot be undone.","Biztosan törli a következőt: {0} ""{1}""? Ez a művelet nem vonható vissza.",False
MainMenu.Editor.OverwriteExistingConfirmation,"{0} ""{1}"" already exist. Are you sure you want to overwrite {0} ""{1}""? This action cannot be undone.","{0} ""{1}"" már létezik. Biztosan felül szeretné írni a következőt: {0} ""{1}""? Ez a művelet nem vonható vissza.",False
MainMenu.Editor.OverwriteSelectedConfirmation,"A {0} ""{1}"" is selected. Overwrite it or Create a new entry?","Egy {0} ""{1}"" van kiválasztva. Felülírja vagy új bejegyzést hoz létre?",False
MainMenu.Editor.OverwriteConfirmation.Overwrite,Overwrite,Átír,False
MainMenu.Editor.OverwriteConfirmation.CreateNew,Create New,Új létrehozása,False
MainMenu.Editor.UnsavedChangeConfirmation,"{0} ""{1}"" has unsaved changes. Apply before continuing?","{0} ""{1}"" nem mentett módosításokat tartalmaz. Jelentkezni a folytatás előtt?",False
MainMenu.Editor.UnsavedChangeConfirmation.Apply,Apply,Alkalmazni,False
MainMenu.Editor.UnsavedChangeConfirmation.Discard,Discard,Eldobni,False
MainMenu.Editor.UnsavedNewConfirmation,This {0} has not been saved. Save before continuing?,Ez a(z) {0} nincs elmentve. Menti a folytatás előtt?,False
MainMenu.Editor.UnsavedNewConfirmation.Save,Save,Megtakarítás,False
MainMenu.Editor.Layers,Layers,Rétegek,False
MainMenu.Editor.LayerProperties,Properties,Tulajdonságok,False
MainMenu.Editor.ModelProperties,Model Properties,Modell tulajdonságai,False
MainMenu.Editor.TextProperty.Text,Text,Szöveg,False
MainMenu.Editor.TextProperty.Font,Font,Betűtípus,False
MainMenu.Editor.TextProperty.Size,Size,Méret,False
MainMenu.Editor.TextProperty.PositionX,Position X,X pozíció,False
MainMenu.Editor.TextProperty.PositionY,Position Y,Y pozíció,False
MainMenu.Editor.TextProperty.Rotation,Rotation,Forgás,False
MainMenu.Editor.TextProperty.CharacterSpacing,Character Spacing,Karaktertávolság,False
MainMenu.Editor.TextProperty.LineSpacing,Line Spacing,Sorköz,False
MainMenu.Editor.TextProperty.Outline,Outline,Vázlat,False
MainMenu.Editor.TextProperty.OutlineThickness,Thickness,Vastagság,False
MainMenu.Editor.TextProperty.Underlay,Underlay,Alátét,False
MainMenu.Editor.TextProperty.UnderlayDilate,Dilate,Tágul,False
MainMenu.Editor.TextProperty.UnderlayOffsetX,Offset X,X eltolás,False
MainMenu.Editor.TextProperty.UnderlayOffsetY,Offset Y,Eltolás Y,False
MainMenu.Editor.LayerType.Model,Model,Modell,False
MainMenu.Editor.LayerType.Image,Image,Kép,False
MainMenu.Editor.LayerType.Text,Text,Szöveg,False
MainMenu.Editor.Playback,Playback,Lejátszás,False
MainMenu.Editor.SceneList,Scene List,Jelenetek listája,False
MainMenu.Editor.Scenes,Scenes,Jelenetek,False
MainMenu.Editor.ExportAllScenes,Export All Scenes,Minden jelenet exportálása,False
MainMenu.Editor.SceneListExport.Title,Exporting scene list,Jelenetlista exportálása,False
MainMenu.Editor.SceneListExport.Preparing,Preparing export...,Exportálás előkészítése...,False
MainMenu.Editor.SceneListExport.Progress,Exporting {0}/{1}: {2},Exportálás: {0}/{1}: {2},False
MainMenu.Editor.SceneListExport.Failed,Export failed,Nem sikerült exportálni,False
MainMenu.Editor.SceneListExport.Finished,Export finished,Az exportálás befejeződött,False
MainMenu.Editor.SceneListExport.Cancelled,Export cancelled,Exportálás megszakítva,False
MainMenu.Editor.SceneListExport.Complete,Export complete,Az exportálás befejeződött,False
MainMenu.Editor.SceneListExport.CompleteExclamation,Export complete!,Az exportálás befejeződött!,False
MainMenu.Editor.SceneListExport.CancelledSummary,"Export cancelled ({0}/{1} exported, {2} failed).","Exportálás megszakítva ({0}/{1} exportálva, {2} sikertelen).",False
MainMenu.Editor.SceneListExport.CancelledWithFailures,"Export complete ({0}/{1} exported, {2} failed).","Az exportálás befejeződött ({0}/{1} exportálva, {2} sikertelen).",False
MainMenu.Editor.SceneListExport.CompleteWithFailures,"Export complete ({0}/{1} exported, {2} failed).","Az exportálás befejeződött ({0}/{1} exportálva, {2} sikertelen).",False
MainMenu.Editor.SceneListExport.ErrorMessage,Error: {0},Hiba: {0},False
MainMenu.Editor.OpenExportLocation,Open Export Location,Nyissa meg az Exportálási hely lehetőséget,False
MainMenu.Editor.CameraProperties,Camera Properties,Kamera tulajdonságai,False
MainMenu.Editor.CameraProperty.PositionX,Position X,X pozíció,False
MainMenu.Editor.CameraProperty.PositionY,Position Y,Y pozíció,False
MainMenu.Editor.CameraProperty.Size,Size,Méret,False
MainMenu.Editor.CameraProperty.Rotation,Rotation,Forgás,False
