Key;en;ru;reviewed
Eye Iris Dark <<;Eye Iris Dark <<;Глаза Радужка Темная <<;FALSE
Eye Dollar;Eye Dollar;Глаз Доллар;FALSE
Eye Heart;Eye Heart;Глаз Сердце;FALSE
Eye Highlight;Eye Highlight;Глаз Блик;FALSE
Eyelashes;Eyelashes;Ресницы;FALSE
Eye Iris Light >>;Eye Iris Light >>;Глаза Радужка Светлая >>;FALSE
Eye Iris Light <<;Eye Iris Light <<;Глаза Радужка Светлая <<;FALSE
Eye(Dum) Outline;Eye(Dum) Outline;Контур глаза (Глупик);FALSE
Eye Sparkling;Eye Sparkling;Сверкающие глаза;FALSE
Eye Spiral;Eye Spiral;Глаз Спираль;FALSE
Eye White;Eye White;Глаз Белок;FALSE
Face Shadow;Face Shadow;Тень на лице;FALSE
Fin >>;Fin >>;Плавник >>;FALSE
Fin >> Outline;Fin >> Outline;Плавник >> Контур;FALSE
Fin <<;Fin <<;Плавник <<;FALSE
Fin << Outline;Fin << Outline;Плавник << Контур;FALSE
Hair Framing >>;Hair Framing >>;Прядь волос >>;FALSE
Hair Framing >> Outline;Hair Framing >> Outline;Прядь волос >> Контур;FALSE
Hair Framing <<;Hair Framing <<;Прядь волос <<;FALSE
Hair Framing << Outline;Hair Framing << Outline;Прядь волос << Контур;FALSE
Gill;Gill;Жабры;FALSE
Gill Outline;Gill Outline;Жабры Контур;FALSE
Glasses;Glasses;Очки;FALSE
Hairband A;Hairband A;Банты А;FALSE
Hairband A Outline;Hairband A Outline;Банты A Контур;FALSE
Hairband B;Hairband B;Повязки на голову Б;FALSE
Hairband B Outline;Hairband B Outline;Повязки на голову B Контур;FALSE
Hairband C;Hairband C;Ободок С;FALSE
Hairband C Outline;Hairband C Outline;Ободок C Контур;FALSE
Hairband D;Hairband D;Бант сзади D;FALSE
Hairband D Outline;Hairband D Outline;Бант сзади D Контур;FALSE
Hair Bang >>;Hair Bang >>;Челка >>;FALSE
Hair Bang >> Outline;Hair Bang >> Outline;Челка >> Контур;FALSE
Hair Bang ><;Hair Bang ><;Челка ><;FALSE
Hair Bang >< Outline;Hair Bang >< Outline;Челка >< Контур;FALSE
Hair Bang <<;Hair Bang <<;Челка <<;FALSE
Hair Bang << Outline;Hair Bang << Outline;Челка << Контур;FALSE
Hair Clip >>;Hair Clip >>;Заколка >>;FALSE
Hair Clip >> Outline;Hair Clip >> Outline;Заколка >> Контур;FALSE
Hair Clip <<;Hair Clip <<;Заколка  <<;FALSE
Hair Clip << Outline;Hair Clip << Outline;Заколка << Контур;FALSE
Hair Highlight 1 >>;Hair Highlight 1 >>;Торчащий волос 1 >>;FALSE
Hair Highlight 1 >> Outline;Hair Highlight 1 >> Outline;Торчащий волос 1 >> Контур;FALSE
Hair Highlight 2 >>;Hair Highlight 2 >>;Торчащий волос 2 >>;FALSE
Hair Highlight 2 >> Outline;Hair Highlight 2 >> Outline;Торчащий волос 2 >> Контур;FALSE
Hair Highlight 3 >>;Hair Highlight 3 >>;Торчащий волос 3 >>;FALSE
Hair Highlight 3 >> Outline;Hair Highlight 3 >> Outline;Торчащий волос 3 >> Контур;FALSE
Hair Highlight 1 ><;Hair Highlight 1 ><;Торчащий волос 1 ><;FALSE
Hair Highlight 1 >< Outline;Hair Highlight 1 >< Outline;Торчащий волос 1 >< Контур;FALSE
Hair Highlight 2 ><;Hair Highlight 2 ><;Торчащий волос 2 ><;FALSE
Hair Highlight 2 >< Outline;Hair Highlight 2 >< Outline;Торчащий волос 2 >< Контур;FALSE
Hair Highlight 3 ><;Hair Highlight 3 ><;Торчащий волос 3 ><;FALSE
Hair Highlight 3 >< Outline;Hair Highlight 3 >< Outline;Торчащий волос 3 >< Контур;FALSE
Hair Highlight 4 ><;Hair Highlight 4 ><;Торчащий волос 4 ><;FALSE
Hair Highlight 4 >< Outline;Hair Highlight 4 >< Outline;Торчащий волос 4 >< Контур;FALSE
Hair Highlight 5 ><;Hair Highlight 5 ><;Торчащий волос 5 ><;FALSE
Hair Highlight 5 >< Outline;Hair Highlight 5 >< Outline;Торчащий волос 5 >< Контур;FALSE
Hair Highlight 6 ><;Hair Highlight 6 ><;Торчащий волос 6 ><;FALSE
Hair Highlight 6 >< Outline;Hair Highlight 6 >< Outline;Торчащий волос 6 >< Контур;FALSE
Hair Highlight 1 <<;Hair Highlight 1 <<;Торчащий волос 1 <<;FALSE
Hair Highlight 1 << Outline;Hair Highlight 1 << Outline;Торчащий волос 1 << Контур;FALSE
Hair Highlight 2 <<;Hair Highlight 2 <<;Торчащий волос 2 <<;FALSE
Hair Highlight 2 << Outline;Hair Highlight 2 << Outline;Торчащий волос 2 << Контур;FALSE
Hair Highlight 3 <<;Hair Highlight 3 <<;Торчащий волос 3 <<;FALSE
Hair Highlight 3 << Outline;Hair Highlight 3 << Outline;Торчащий волос 3 << Контур;FALSE
Hairline Outline;Hairline Outline;Линия роста волос Контур;FALSE
Hair Shine;Hair Shine;Волосы Сияние;FALSE
Hair Shine Outline;Hair Shine Outline;Волосы Сияние Контур;FALSE
Halo;Halo;Нимб;FALSE
Halo Outline;Halo Outline;Нимб Контур;FALSE
Hat;Hat;Шляпа;FALSE
Hat Outline;Hat Outline;Шляпа Контур;FALSE
Hat Secondary;Hat Secondary;Шляпа 2;FALSE
Hat Secondary Outline;Hat Secondary Outline;Шляпа 2 Контур;FALSE
Hammer;Hammer;Молоток;FALSE
Ear Wing >>;Ear Wing >>;Крыло-ухо >>;FALSE
Ear Wing >> Outline;Ear Wing >> Outline;Крыло-ухо >> Контур;FALSE
Ear Wing <<;Ear Wing <<;Крыло-ухо <<;FALSE
Ear Wing << Outline;Ear Wing << Outline;Крыло-ухо << Контур;FALSE
Heart;Heart;Сердце;FALSE
Horn >>;Horn >>;Рог >>;FALSE
Horn >> Outline;Horn >> Outline;Рог >> Контур;FALSE
Horn <<;Horn <<;Рог <<;FALSE
Horn << Outline;Horn << Outline;Рог << Контур;FALSE
Horn ><;Horn ><;Рог ><;FALSE
Horn >< Outline;Horn >< Outline;Рог >< Контур;FALSE
Jail Grill;Jail Grill;Тюремный решетка;FALSE
Keyboard;Keyboard;Клавиатура;FALSE
Kitchen Knife;Kitchen Knife;Кухонный нож;FALSE
Laptop;Laptop;Ноутбук;FALSE
Laptop Light;Laptop Light;Ноутбук Свечение;FALSE
Leg >>;Leg >>;Нога >>;FALSE
Leg <<;Leg <<;Нога <<;FALSE
Lightstick Handle;Lightstick Handle;Рукоять Лайтстик;FALSE
Light Stick >>;Light Stick >>;Лайтстик >>;FALSE
Light Stick <<;Light Stick <<;Лайтстик <<;FALSE
Mecha;Mecha;Меха;FALSE
Mecha >>;Mecha >>;Меха >>;FALSE
Mecha >> Outline;Mecha >> Outline;Меха >> Контур;FALSE
Mecha Outline;Mecha Outline;Меха Контур;FALSE
Mecha <<;Mecha <<;Меха <<;FALSE
Mecha << Outline;Mecha << Outline;Меха << Контур;FALSE
Mouse;Mouse;Мышь;FALSE
Mouth/Tongue;Mouth/Tongue;Рот/Язык;FALSE
Mouth/Tongue Shadow;Mouth/Tongue Shadow;Рот/Язык Тень;FALSE
Notepad;Notepad;Блокнот;FALSE
Outfit Collar;Outfit Collar;Воротник;FALSE
Outfit Collar Outline;Outfit Collar Outline;Воротник Контур;FALSE
Outfit Inner;Outfit Inner;Плечевая одежда;FALSE
Outfit Inner Outline;Outfit Inner Outline;Плечевая одежда Контур;FALSE
Outfit Neckwear A;Outfit Neckwear A; Галстук А;FALSE
Outfit Neckwear A Outline;Outfit Neckwear A Outline;Галстук A Контур;FALSE
Outfit Neckwear B;Outfit Neckwear B;Галстук B;FALSE
Outfit Neckwear B Outline;Outfit Neckwear B Outline;Галстук B Контур;FALSE
Outfit Neckwear C;Outfit Neckwear C;Галстук С;FALSE
Outfit Neckwear C Outline;Outfit Neckwear C Outline;Галстук С Контур;FALSE
Outfit Outer;Outfit Outer;Верхняя одежда;FALSE
Outfit Outer Outline;Outfit Outer Outline;Верхняя одежда Контур;FALSE
Pencil;Pencil;Карандаш;FALSE
Phone;Phone;Телефон;FALSE
Phone Light;Phone Light;Телефон Свет;FALSE
Hair Pigtail >>;Hair Pigtail >>;Волосы Хвостик >>;FALSE
Hair Pigtail >> Outline;Hair Pigtail >> Outline;Волосы Хвостик>> Контур;FALSE
Hair Pigtail <<;Hair Pigtail <<;Волосы Хвостик <<;FALSE
Hair Pigtail << Outline;Hair Pigtail << Outline;Волосы Хвостик<< Контур;FALSE
Rose;Rose;Роза;FALSE
Round Sign;Round Sign;Круглый знак;FALSE
Round Sign Text;Round Sign Text;Круглый знак Текст;FALSE
Hair Side;Hair Side;Боковые волосы;FALSE
Hair Side Outline;Hair Side Outline;Боковые волосы Контур;FALSE
Skin;Skin;Кожа;FALSE
Skin Outline;Skin Outline;Кожа Контур;FALSE
Square Sign;Square Sign;Квадратный знак;FALSE
Square Sign Text;Square Sign Text;Квадратный знак Текст;FALSE
Steering Wheel;Steering Wheel;Руль;FALSE
Gas Bottle;Gas Bottle;Газовый баллон;FALSE
Pat Hand;Pat Hand;Гладящая рука;FALSE
Sticker Alert;Sticker Alert;Стикер Оповещение;FALSE
Sticker Alert Effect;Sticker Alert Effect;Стикер Уведомление Эффект;FALSE
Sticker Alert Outline;Sticker Alert Outline;Стикер Уведомление Контур;FALSE
Sticker Angry;Sticker Angry;Стикер Злой;FALSE
Sticker Exclamation Mark;Sticker Exclamation Mark;Стикер Восклицательный знак;FALSE
Sticker Ghost;Sticker Ghost;Стикер Призрак;FALSE
Sticker Heart;Sticker Heart;Стикер Сердце;FALSE
Sticker Laugh;Sticker Laugh;Стикер Смех;FALSE
Sticker Question Mark;Sticker Question Mark;Стикер Вопросительный знак;FALSE
Sticker Sleep;Sticker Sleep;Стикер Сон;FALSE
Sticker Star;Sticker Star;Стикер Звезда;FALSE
Sticker Steam;Sticker Steam;Стикер Пар;FALSE
Sticker Surprise;Sticker Surprise;Стикер Сюрприз;FALSE
Sticker Sweat;Sticker Sweat;Стикер Пот;FALSE
Sticker Sweat (Large);Sticker Sweat (Large);Стикер Пот (Большой);FALSE
Sticker Volume;Sticker Volume;Стикер Громкость;FALSE
Sticky Note;Sticky Note;Стикер для заметок;FALSE
Sticky Note Text;Sticky Note Text;Стикер заметок Текст;FALSE
Eye Tear;Eye Tear;Глаз слеза;FALSE
Utensil;Utensil;Столовые приборы;FALSE
Outfit Collar String;Outfit Collar String;Воротник Шнурок;FALSE
Bell;Bell;Колокольчик;FALSE
Confetti 1;Confetti 1;Конфетти 1;FALSE
Confetti 2;Confetti 2;Конфетти 2;FALSE
Confetti 3;Confetti 3;Конфетти 3;FALSE
Microphone;Microphone;Микрофон;FALSE
Gleam;Gleam;Отблеск;FALSE
Video Camera;Video Camera;Видеокамера;FALSE
Point Hand;Point Hand;Указывающая рука;FALSE
Bowl;Bowl;Чаша;FALSE
Cake;Cake;Торт;FALSE
Candle Fire;Candle Fire;Горящая свеча;FALSE
Drawing Tablet;Drawing Tablet;Планшет для рисования;FALSE
Love Letter;Love Letter;Любовное письмо;FALSE
Popper;Popper;Поппер;FALSE
Stylus;Stylus;Стилус;FALSE
Tablet;Tablet;Графический планшет;FALSE
Musical Note 1;Musical Note 1;Музыкальная нота 1;FALSE
Musical Note 2;Musical Note 2;Музыкальная нота 2;FALSE
Phone Screen;Phone Screen;Экран телефона;FALSE
Tail;Tail;Хвост;FALSE
Tail Outline;Tail Outline;Хвост Контур;FALSE
Wing >>;Wing >>;Крылья >>;FALSE
Wing >> Outline;Wing >> Outline;Крылья >> Контур;FALSE
Wing <<;Wing <<;Крылья <<;FALSE
Wing << Outline;Wing << Outline;Крылья << Контур;FALSE
