Key,en,pt-br,reviewed
MainMenu.Editor.UnloadCurrentModel,Unload Current Model,Descarregar modelo atual,True
MainMenu.Settings.GeneralSettings,General Settings,Configurações gerais,True
MainMenu.Settings.GeneralSettings.Language,Language,Língua,True
MainMenu.Settings.ViewportSettings,Viewport Settings,Configurações de visualização,True
MainMenu.Settings.ViewportSettings.ViewportZoomSpeed,Zoom Speed,Velocidade do Zoom,True
MainMenu.Settings.ViewportSettings.ViewportRotationSpeed,Rotation Speed,Velocidade de rotação,True
MainMenu.Settings.ViewportSettings.ModelScale,Model Scale,Escala do modelo,True
MainMenu.Settings.ViewportSettings.ModelOffsetHorizontal,Offset Horizontal,Deslocamento horizontal,True
MainMenu.Settings.ViewportSettings.ModelOffsetVertical,Offset Vertical,Deslocamento vertical,True
MainMenu.Settings.ViewportSettings.ResetViewportSettings,Reset Viewport Settings,Resetar opções de visualização,True
MainMenu.Settings.ExportSettings,Animation Export Settings,Opções de exportação de animação,True
MainMenu.Settings.ExportSettings.SaveLocation,Save Location,Local de salvamento,True
MainMenu.Settings.ExportSettings.ExportPresets,Export Presets,Exportar predefinições,True
MainMenu.Settings.ExportSettings.Encoder,Encoder,Codificador,True
MainMenu.Settings.ExportSettings.Width,Width,Largura,True
MainMenu.Settings.ExportSettings.Height,Height,Altura,True
MainMenu.Settings.ExportSettings.FPS,FPS,FPS,True
MainMenu.Settings.ExportSettings.LimitMaxFrameCount,Limit Max. Frame Count,Limite máximo. Quantidade de Quadros,True
MainMenu.Settings.ExportSettings.MaxFrameCount,Max. Frame Count,Máximo. Quantidade de Quadros,True
MainMenu.Settings.ExportSettings.AlphaThreshold,Alpha Threshold,Limiar alpha,True
MainMenu.Settings.ExportSettings.EnableDithering,Enable Dithering,Ativar Suavização de Cores,True
MainMenu.Settings.ExportSettings.ResetExportSettings,Reset Export Settings,Resetar Opções de Exportação,True
MainMenu.Editor.Export,Export Emote,Exportar Emote,True
LicensePopup.ThirdPartyLicense.Notice,License provided by the model creator. Displayed for reference only and does not represent the EmoteLab developer’s views or legal position. ,Licença provida pelo criador do modelo. Apresentada apenas para referência e não representa as ideias ou posicionamento legal dos desenvolvedores do Emotelab.,True
LicensePopup.ThirdPartyLicense.NotFound,"The creator of this third-party model has not provided a license or usage terms with the model. Before using this model in public, commercial, or professional contexts, you should confirm the permitted scope of use directly with the model's creator.",Licença não encontrada. Confirme com o criador se o uso é permitido.,False
LicensePopup.Close,Close,Fechar,True
MainMenu.Editor.OpenExportFolder,Open Export Folder,Abre Pasta de Exportação,True
MainMenu.Settings.ModelSettings.LoadSampleCharacters,Load Sample Characters for Built-in Models,Carregar Personagens de Exemplo para Modelos Pré-criados,True
MainMenu.Settings.ModelSettings,Model Settings,Configurações de Modelo,True
MainMenu.Editor.CharacterPopup.SavingCharacter,Saving Character Data...,Salvando Dados do Personagem...,True
MainMenu.Editor.CharacterPopup.LoadingCharacter,Loading Character...,Carregando Personagem...,True
MainMenu.Info.ThirdPartyLicense,Third Party Licenses,Licença de Terceiros,True
MainMenu.Info.EmoteLabEULA,End User License Agreement (EULA),Contrato de Licença de Usuário Final (EULA),True
MainMenu.Info.Documentation,Documentation,Documentação,True
MainMenu.Info.Discord,Join Our Discord,Entre no Nosso Discord,True
MainMenu.Settings.ExportSettings.PresetsInfo,"This preset sets the correct format and dimensions. Very long animations may exceed platform file size limits, and some platforms restrict certain content.","Essa predefinição aplica as formas e dimensões corretas. Animações muito longas podem exceder o limite de arquivos da plataforma, e certas plataformas restringem certos conteúdos.",True
MainMenu.Settings.ModelSettings.OpenLocalModelFolder,Open Local Model Folder,Abrir Pasta Local do Modelo,True
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,Abrir Pasta de Personagens,True
MainMenu.Info.Log,Open Log Folder,Abrir Pasta Logs,True
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,Usar Tabela Global de Cores,True
MainMenu.Editor.ExportStatic,Export Static Image,Exportar Imagem Estática,True
MainMenu.Editor.Player.Speed,Speed,Velocidade,True
MainMenu.Settings.StaticImageSettings,Static Image Settings,Opções de Imagem Estática,True
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,Resetar Opções de Imagem Estática,True
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,Taxa de Amostragem,True
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,Essa opção permite você mudar entre texturas internas e customizadas,True
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,Edite os PNGs na pasta de Texturas Customizadas. Salve com transparência e não modifique o tamanho da imagem ,True
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.","Após salvar suas alterações, clique nesse botão para aplicar as alterações no seu modelo.",True
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,Salve seu personagem. O botão de salvar está localizado abaixo da lista de personagens no canto esquerdo da interface.,True
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,Por favor leia o manual de Customização de Texturas antes de usar essa opção.,True
MainMenu.Editor.Texture.CustomTexture,Custom Texture,Texturas Customizadas,True
MainMenu.Editor.Texture.Step1,Step 1,Etapa 1,True
MainMenu.Editor.Texture.Step2,Step 2,Etapa 2,True
MainMenu.Editor.Texture.Step3,Step 3,Etapa 3,True
MainMenu.Editor.Texture.Step4,Step 4,Etapa 4,True
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,Corrigir Outline Selecionada,True
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,Resetar Atlas Selecionada,True
MainMenu.Editor.Texture.TextureUtility,Texture Utility,Utilitários de Textura,True
MainMenu.Editor.Texture.SelectAll,Select All,Selecionar Todos,True
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,Ativar Seleção,True
MainMenu.Editor.Texture.AtlasList,Atlas List,Lista de Atlas,True
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,Isso irá resetar as páginas do atlas selecionadas para as versões pré-criadas. Qualquer alteração não salva será perdida e não poderá ser recuperada. Continuar?,True
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,Algoritmo de Paleta,True
MainMenu.Editor.Texture.AlphaBleedWarning,This will overwrite the selected texture files and cannot be undone. Continue?,Isso irá sobrescrever os arquivos de textura e não poderá ser desfeito. Continuar?,True
MainMenu.TranslationInfo.Message,"Some languages are translated by our community or assisted by machine translation, so quality may vary.

You can change the language in Settings.

See our {0}.

Want to contribute? Join us on {1}.","Alguns idiomas são traduzidos pela nossa comunidade ou assistidos por tradução automática, portanto a qualidade pode variar.

Você pode alterar o idioma em Configurações.

Veja nossos {0}.

Quer contribuir? Junte-se a nós no {1}.",False
MainMenu.TranslationInfo.ContributorsLinkLabel,community contributors on GitHub,colaboradores da comunidade no GitHub,False
MainMenu.TranslationInfo.DontShowAgain,Don't show this again,Não mostre isso de novo,False
MainMenu.Editor.AssetTypeWS,Workshop,Oficina,False
MainMenu.Editor.WorkshopPublishPopup.Title.Model,Publish Model to Workshop,Publicar modelo no workshop,False
MainMenu.Editor.WorkshopPublishPopup.Title.Character,Publish Character to Workshop,Publicar personagem no workshop,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode,Upload mode,Modo de upload,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.CreateNew,Create new item,Criar novo item,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.UpdateExisting,Update existing item,Atualizar item existente,False
MainMenu.Editor.WorkshopPublishPopup.ItemtoUpdate,Item to update,Item a ser atualizado,False
MainMenu.Editor.WorkshopPublishPopup.Field.Title,Title,Título,False
MainMenu.Editor.WorkshopPublishPopup.Field.Description,Description,Descrição,False
MainMenu.Editor.WorkshopPublishPopup.Field.Visibility,Visibility,Visibilidade,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Public,Public,Público,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.FriendsOnly,Friends Only,Apenas amigos,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Private,Private,Privado,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Unlisted,Unlisted,Não listado,False
MainMenu.Editor.WorkshopPublishPopup.Field.ChangeNote,Change note,Alterar nota,False
MainMenu.Editor.WorkshopPublishPopup.Field.RequiredItems,Required Items (PublishedFileIds),Itens obrigatórios (PublishedFileIds),False
MainMenu.Editor.WorkshopPublishPopup.Field.PreviewImagePath,Preview image (PNG/JPG path),Imagem de visualização (caminho PNG/JPG),False
MainMenu.Editor.WorkshopPublishPopup.Button.Publish,Publish,Publicar,False
MainMenu.Editor.WorkshopPublishPopup.Button.Cancel,Cancel,Cancelar,False
MainMenu.Editor.WorkshopPublishPopup.Picker.Loading,(loading...),(carregando...),False
MainMenu.Editor.WorkshopPublishPopup.Picker.NoPublishedItems,(no published items),(sem itens publicados),False
MainMenu.Editor.WorkshopPublishPopup.Picker.SteamNotReady,(Steam not ready),(Vapor não está pronto),False
MainMenu.Editor.WorkshopPublishPopup.Status.WaitingForSteamMetadata,Waiting for Steam metadata...,Aguardando metadados do Steam...,False
MainMenu.Editor.WorkshopPublishPopup.Status.SelectItemToUpdate,Select a published Workshop item to update.,Selecione um item publicado do Workshop para atualizar.,False
MainMenu.Editor.WorkshopPublishPopup.Status.TitleRequired,Title is required.,O título é obrigatório.,False
MainMenu.Editor.WorkshopPublishPopup.Status.FixPreviewBeforePublishing,Fix the preview image before publishing.,Corrija a imagem de visualização antes de publicar.,False
MainMenu.Editor.WorkshopPublishPopup.Status.CreatingItem,Creating Workshop item...,Criando item da Oficina...,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadingItem,Uploading Workshop item...,Carregando item da Oficina...,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewNotFound,Preview image file not found.,Arquivo de imagem de visualização não encontrado.,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewInvalidFormat,"Preview image must be a PNG, JPG, or GIF.","A imagem de visualização deve ser PNG, JPG ou GIF.",False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewTooLarge,Preview image must be 1 MB or smaller (currently {0} KB).,A imagem de visualização deve ter 1 MB ou menos (atualmente {0} KB).,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewReadFailed,Failed to read preview image: {0},Falha ao ler a imagem de visualização: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewDecodeFailed,Preview image could not be decoded.,A imagem de visualização não pôde ser decodificada.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdInvalid,Required PublishedFileId is invalid: {0},Required PublishedFileId is invalid: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.SteamNotInitialized,Steam is not initialized.,O Steam não foi inicializado.,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadSucceeded,Workshop item uploaded: {0},Item da oficina enviado: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.TempFolderModified,Publish staging files were modified. Close this dialog and publish again.,Os arquivos de teste de publicação foram modificados. Feche esta caixa de diálogo e publique novamente.,False
MainMenu.Editor.WorkshopPublishPopup.Status.ValidatingRequiredItems,Verifying required Workshop items...,Verificando itens obrigatórios da Oficina...,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdsQueryFailed,Failed to verify required Workshop items.,Falha ao verificar os itens obrigatórios da Oficina.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdNotFound,Workshop item {0} was not found or is not accessible.,O item da oficina {0} não foi encontrado ou não está acessível.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdWrongApp,Workshop item {0} does not belong to this app.,O item da oficina {0} não pertence a este aplicativo.,False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureFailed,Viewport capture failed: {0},Falha na captura da janela de visualização: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureSucceeded,Preview captured from viewport.,Visualização capturada da viewport.,False
MainMenu.Editor.FileNameValidation.Label.Character,Character name,Nome do personagem,False
MainMenu.Editor.FileNameValidation.Label.Scene,Scene name,Nome da cena,False
MainMenu.Editor.FileNameValidation.Label.SceneList,Scene list name,Nome da lista de cenas,False
MainMenu.Editor.FileNameValidation.Empty,{0} cannot be empty.,{0} não pode estar vazio.,False
MainMenu.Editor.FileNameValidation.TooLong,{0} cannot exceed {1} characters.,{0} não pode exceder {1} caracteres.,False
MainMenu.Editor.FileNameValidation.InvalidCharacter,{0} cannot contain '{1}'.,{0} não pode conter '{1}'.,False
MainMenu.Editor.FileNameValidation.WindowsReserved,'{1}' is a reserved name and cannot be used.,'{1}' é um nome reservado e não pode ser usado.,False
MainMenu.Editor.FileNameValidation.AppReserved,'{1}' is reserved and cannot be used as {0}.,'{1}' é reservado e não pode ser usado como {0}.,False
MainMenu.Editor.FileNameValidation.EndsWithDot,{0} cannot end with a dot.,{0} não pode terminar com ponto.,False
MainMenu.Editor.FileNameValidation.DuplicateInList,A {0} with this name already exists in the list.,Já existe um {0} com este nome na lista.,False
MainMenu.Editor.Confirmation.Label.Character,Character,Personagem,False
MainMenu.Editor.Confirmation.Label.Scene,Scene,Cena,False
MainMenu.Editor.Confirmation.Label.SceneList,Scene list,Lista de cenas,False
MainMenu.Editor.DeleteConfirmation,"Are you sure you want to delete {0} ""{1}""? This action cannot be undone.","Tem certeza de que deseja excluir {0} ""{1}""? Esta ação não pode ser desfeita.",False
MainMenu.Editor.OverwriteExistingConfirmation,"{0} ""{1}"" already exist. Are you sure you want to overwrite {0} ""{1}""? This action cannot be undone.","{0} ""{1}"" já existe. Tem certeza de que deseja substituir {0} ""{1}""? Esta ação não pode ser desfeita.",False
MainMenu.Editor.OverwriteSelectedConfirmation,"A {0} ""{1}"" is selected. Overwrite it or Create a new entry?","Um {0} ""{1}"" está selecionado. Substituir ou criar uma nova entrada?",False
MainMenu.Editor.OverwriteConfirmation.Overwrite,Overwrite,Substituir,False
MainMenu.Editor.OverwriteConfirmation.CreateNew,Create New,Criar novo,False
MainMenu.Editor.UnsavedChangeConfirmation,"{0} ""{1}"" has unsaved changes. Apply before continuing?","{0} ""{1}"" tem alterações não salvas. Aplicar antes de continuar?",False
MainMenu.Editor.UnsavedChangeConfirmation.Apply,Apply,Aplicar,False
MainMenu.Editor.UnsavedChangeConfirmation.Discard,Discard,Descartar,False
MainMenu.Editor.UnsavedNewConfirmation,This {0} has not been saved. Save before continuing?,Este {0} não foi salvo. Salvar antes de continuar?,False
MainMenu.Editor.UnsavedNewConfirmation.Save,Save,Salvar,False
MainMenu.Editor.Layers,Layers,Camadas,False
MainMenu.Editor.LayerProperties,Properties,Propriedades,False
MainMenu.Editor.ModelProperties,Model Properties,Propriedades do modelo,False
MainMenu.Editor.TextProperty.Text,Text,Texto,False
MainMenu.Editor.TextProperty.Font,Font,Fonte,False
MainMenu.Editor.TextProperty.Size,Size,Tamanho,False
MainMenu.Editor.TextProperty.PositionX,Position X,Posição X,False
MainMenu.Editor.TextProperty.PositionY,Position Y,Posição Y,False
MainMenu.Editor.TextProperty.Rotation,Rotation,Rotação,False
MainMenu.Editor.TextProperty.CharacterSpacing,Character Spacing,Espaçamento de caracteres,False
MainMenu.Editor.TextProperty.LineSpacing,Line Spacing,Espaçamento entre linhas,False
MainMenu.Editor.TextProperty.Outline,Outline,Contorno,False
MainMenu.Editor.TextProperty.OutlineThickness,Thickness,Grossura,False
MainMenu.Editor.TextProperty.Underlay,Underlay,Subcamada,False
MainMenu.Editor.TextProperty.UnderlayDilate,Dilate,Dilatar,False
MainMenu.Editor.TextProperty.UnderlayOffsetX,Offset X,Deslocamento X,False
MainMenu.Editor.TextProperty.UnderlayOffsetY,Offset Y,Deslocamento Y,False
MainMenu.Editor.LayerType.Model,Model,Modelo,False
MainMenu.Editor.LayerType.Image,Image,Imagem,False
MainMenu.Editor.LayerType.Text,Text,Texto,False
MainMenu.Editor.Playback,Playback,Reprodução,False
MainMenu.Editor.SceneList,Scene List,Lista de cenas,False
MainMenu.Editor.Scenes,Scenes,Cenas,False
MainMenu.Editor.ExportAllScenes,Export All Scenes,Exportar todas as cenas,False
MainMenu.Editor.SceneListExport.Title,Exporting scene list,Exportando lista de cenas,False
MainMenu.Editor.SceneListExport.Preparing,Preparing export...,Preparando exportação...,False
MainMenu.Editor.SceneListExport.Progress,Exporting {0}/{1}: {2},Exportando {0}/{1}: {2},False
MainMenu.Editor.SceneListExport.Failed,Export failed,Falha na exportação,False
MainMenu.Editor.SceneListExport.Finished,Export finished,Exportação concluída,False
MainMenu.Editor.SceneListExport.Cancelled,Export cancelled,Exportação cancelada,False
MainMenu.Editor.SceneListExport.Complete,Export complete,Exportação concluída,False
MainMenu.Editor.SceneListExport.CompleteExclamation,Export complete!,Exportação concluída!,False
MainMenu.Editor.SceneListExport.CancelledSummary,"Export cancelled ({0}/{1} exported, {2} failed).","Exportação cancelada ({0}/{1} exportada, {2} falhou).",False
MainMenu.Editor.SceneListExport.CancelledWithFailures,"Export complete ({0}/{1} exported, {2} failed).","Exportação concluída ({0}/{1} exportada, {2} falhou).",False
MainMenu.Editor.SceneListExport.CompleteWithFailures,"Export complete ({0}/{1} exported, {2} failed).","Exportação concluída ({0}/{1} exportada, {2} falhou).",False
MainMenu.Editor.SceneListExport.ErrorMessage,Error: {0},Erro: {0},False
MainMenu.Editor.OpenExportLocation,Open Export Location,Abrir local de exportação,False
MainMenu.Editor.CameraProperties,Camera Properties,Propriedades da câmera,False
MainMenu.Editor.CameraProperty.PositionX,Position X,Posição X,False
MainMenu.Editor.CameraProperty.PositionY,Position Y,Posição Y,False
MainMenu.Editor.CameraProperty.Size,Size,Tamanho,False
MainMenu.Editor.CameraProperty.Rotation,Rotation,Rotação,False
MainMenu.Editor.ModelProperty.Mirror,Mirror,Espelho,False
MainMenu.Editor.ModelProperty.Outline,Outline,Contorno,False
MainMenu.Editor.ModelProperty.OutlineThickness,Thickness,Grossura,False
MainMenu.Settings.ExportSettings.Quality,Quality,Qualidade,False
MainMenu.Settings.ExportSettings.LoopCount,Loop Count,Contagem de loops,False
MainMenu.Settings.ExportSettings.Lossless,Lossless,Sem perdas,False
MainMenu.Settings.ExportSettings.WebPQualityInfo,"With Lossless on, higher quality means a smaller file and slower encode. Looks stay the same. With Lossless off, higher quality means better looks and a larger file.","Com Lossless ativado, maior qualidade significa um arquivo menor e uma codificação mais lenta. A aparência permanece a mesma. Com Lossless desativado, maior qualidade significa melhor aparência e um arquivo maior.",False
MainMenu.Settings.ExportSettings.WebPLoopCountInfo,How many times the animation repeats. 0 = loop forever.,Quantas vezes a animação se repete. 0 = loop para sempre.,False
