Key,en,es,reviewed
Horn >>,Horn >>,Cuerno >>,False
Horn >> Outline,Horn >> Outline,Cuerno >> Contorno,False
Horn <<,Horn <<,Cuerno <<,False
Horn << Outline,Horn << Outline,Cuerno << Contorno,False
Horn ><,Horn ><,Cuerno ><,False
Horn >< Outline,Horn >< Outline,Cuerno >< Contorno,False
Jail Grill,Jail Grill,Barrotes de la cárcel,False
Keyboard,Keyboard,Teclado,False
Kitchen Knife,Kitchen Knife,Cuchillo de cocina,False
Laptop,Laptop,Computadora portátil,False
Laptop Light,Laptop Light,Luz de la computadora portátil,False
Leg >>,Leg >>,Pierna >>,False
Leg <<,Leg <<,Pierna <<,False
Lightstick Handle,Lightstick Handle,Mango del Lightstick,False
Light Stick >>,Light Stick >>,Lightstick >>,False
Light Stick <<,Light Stick <<,Lightstick <<,False
Mecha,Mecha,Mecha,False
Mecha >>,Mecha >>,Mecha >>,False
Mecha >> Outline,Mecha >> Outline,Mecha >> Contorno,False
Mecha Outline,Mecha Outline,Contorno del mecha,False
Mecha <<,Mecha <<,Mecha <<,False
Mecha << Outline,Mecha << Outline,Mecha << Contorno,False
Mouse,Mouse,Ratón,False
Mouth/Tongue,Mouth/Tongue,Boca/Lengua,False
Mouth/Tongue Shadow,Mouth/Tongue Shadow,Sombra de boca/lengua,False
Notepad,Notepad,Bloc de notas,False
Outfit Collar,Outfit Collar,Cuello del Outfit,False
Outfit Collar Outline,Outfit Collar Outline,Contorno del cuello del Outfit,False
Outfit Inner,Outfit Inner,Outfit interior,False
Outfit Inner Outline,Outfit Inner Outline,Contorno del Outfit interior,False
Outfit Neckwear A,Outfit Neckwear A,Accesorios de cuello A,False
Outfit Neckwear A Outline,Outfit Neckwear A Outline,Contorno del accesorio de cuello A,False
Outfit Neckwear B,Outfit Neckwear B,Accesorios de cuello B,False
Outfit Neckwear B Outline,Outfit Neckwear B Outline,Contorno del accesorio de cuello B,False
Outfit Neckwear C,Outfit Neckwear C,Accesorios de cuello C,False
Outfit Neckwear C Outline,Outfit Neckwear C Outline,Contorno del accesorio de cuello C,False
Outfit Outer,Outfit Outer,Traje exterior,False
Outfit Outer Outline,Outfit Outer Outline,Contorno del traje exterior,False
Pencil,Pencil,Lápiz,False
Phone,Phone,Teléfono,False
Phone Light,Phone Light,Luz del teléfono,False
Hair Pigtail >>,Hair Pigtail >>,Coleta de pelo >>,False
Hair Pigtail >> Outline,Hair Pigtail >> Outline,Coleta de pelo >> Contorno,False
Hair Pigtail <<,Hair Pigtail <<,Coleta de pelo <<,False
Hair Pigtail << Outline,Hair Pigtail << Outline,Coleta de pelo << Contorno,False
Rose,Rose,Rosa,False
Round Sign,Round Sign,Señal redonda,False
Round Sign Text,Round Sign Text,Texto de la señal redonda,False
Hair Side,Hair Side,Cabello de los lados trasero,False
Hair Side Outline,Hair Side Outline,Contorno del cabello de los lados trasero,False
Skin,Skin,Piel,False
Skin Outline,Skin Outline,Contorno de la piel,False
Square Sign,Square Sign,Señal cuadrada,False
Square Sign Text,Square Sign Text,Texto de la señal cuadrada,False
Steering Wheel,Steering Wheel,Volante,False
Gas Bottle,Gas Bottle,Tanque de Copium,False
Pat Hand,Pat Hand,Mano de la palmadita,False
Sticker Alert,Sticker Alert,Color de la alerta,False
Sticker Alert Effect,Sticker Alert Effect,Efecto de la alerta,False
Sticker Alert Outline,Sticker Alert Outline,Contorno de la alerta,False
Sticker Angry,Sticker Angry,Efecto enojado,False
Sticker Exclamation Mark,Sticker Exclamation Mark,Signo de exclamación,False
Sticker Ghost,Sticker Ghost,Efecto Fantasma,False
Sticker Heart,Sticker Heart,Efecto Corazón,False
Sticker Laugh,Sticker Laugh,Efecto Risa,False
Sticker Question Mark,Sticker Question Mark,Signo de interrogación,False
Sticker Sleep,Sticker Sleep,Efecto Dormir,False
Sticker Star,Sticker Star,Efecto Estrella,False
Sticker Steam,Sticker Steam,Efecto Vapor,False
Sticker Surprise,Sticker Surprise,Efecto Sorpresa,False
Sticker Sweat,Sticker Sweat,Gota de Sudor,False
Sticker Sweat (Large),Sticker Sweat (Large),Gota de Sudor (Grande),False
Sticker Volume,Sticker Volume,Efecto de Volumen,False
Sticky Note,Sticky Note,Nota adhesiva,False
Sticky Note Text,Sticky Note Text,Texto de nota adhesiva,False
Eye Tear,Eye Tear,Lágrima del ojo,False
Utensil,Utensil,Utensilio,False
Outfit Collar String,Outfit Collar String,Cordón del cuello del Outfit,False
