Key,en,es,reviewed
MainMenu.Settings.ExportSettings.ExportPresets,Export Presets,Exportar ajustes preestablecidos,True
MainMenu.Settings.ExportSettings.Encoder,Encoder,Codificador,True
MainMenu.Settings.ExportSettings.Width,Width,Ancho,True
MainMenu.Settings.ExportSettings.Height,Height,Altura,True
MainMenu.Settings.ExportSettings.FPS,FPS,FPS,True
MainMenu.Settings.ExportSettings.LimitMaxFrameCount,Limit Max. Frame Count,Límite máximo de conteo de fotogramas,True
MainMenu.Settings.ExportSettings.MaxFrameCount,Max. Frame Count,Conteo máximo de fotogramas,True
MainMenu.Settings.ExportSettings.AlphaThreshold,Alpha Threshold,Umbral alfa,True
MainMenu.Settings.ExportSettings.EnableDithering,Enable Dithering,Habilitar tramado,True
MainMenu.Settings.ExportSettings.ResetExportSettings,Reset Export Settings,Restablecer configuración de exportación,True
MainMenu.Editor.Export,Export Emote,Exportar emote,True
LicensePopup.ThirdPartyLicense.Notice,License provided by the model creator. Displayed for reference only and does not represent the EmoteLab developer’s views or legal position. ,Licencia proporcionada por el creador del modelo. Se muestra solo como referencia y no representa las opiniones ni la posición legal del desarrollador de EmoteLab.,False
LicensePopup.ThirdPartyLicense.NotFound,"The creator of this third-party model has not provided a license or usage terms with the model. Before using this model in public, commercial, or professional contexts, you should confirm the permitted scope of use directly with the model's creator.",Licencia no encontrada. Confirmar el uso permitido con el creador.,False
LicensePopup.Close,Close,Cerrar,True
MainMenu.Editor.OpenExportFolder,Open Export Folder,Abrir carpeta de exportación,True
MainMenu.Settings.ModelSettings.LoadSampleCharacters,Load Sample Characters for Built-in Models,Cargar modelos de prueba para modelos integrados,True
MainMenu.Settings.ModelSettings,Model Settings,Configuración del modelo,True
MainMenu.Editor.CharacterPopup.SavingCharacter,Saving Character Data...,Guardando datos de personaje…,True
MainMenu.Editor.CharacterPopup.LoadingCharacter,Loading Character...,Cargando personaje...,True
MainMenu.Info.ThirdPartyLicense,Third Party Licenses,Licencias de terceros,True
MainMenu.Info.EmoteLabEULA,End User License Agreement (EULA),Acuerdo de licencia de usuario final (EULA),True
MainMenu.Info.Documentation,Documentation,Documentación,True
MainMenu.Info.Discord,Join Our Discord,Únete a nuestro Discord,True
MainMenu.Settings.ExportSettings.PresetsInfo,"This preset sets the correct format and dimensions. Very long animations may exceed platform file size limits, and some platforms restrict certain content.",Este ajuste preestablecido establece el formato y las dimensiones correctos. Las animaciones muy largas pueden exceder los límites de tamaño o de archivo de la plataforma y algunas plataformas restringen cierto contenido.,True
MainMenu.Settings.ModelSettings.OpenLocalModelFolder,Open Local Model Folder,Abrir carpeta de modelo local,True
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,Abrir carpeta de personajes,True
MainMenu.Info.Log,Open Log Folder,Abrir carpeta de registro,True
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,Usando tabla de colores globales,True
MainMenu.Editor.ExportStatic,Export Static Image,Exportar imagen estática,True
MainMenu.Editor.Player.Speed,Speed,Velocidad,True
MainMenu.Settings.StaticImageSettings,Static Image Settings,Configuración de imagen estática,True
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,Restablecer configuración de imagen estática,True
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,Tasa de muestreo,True
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,Este interruptor le permite cambiar entre la textura interna y la personalizada.,True
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,Edita los PNG en la carpeta Textura personalizada. Guarda con transparencia y no modifiques el tamaño de la imagen.,True
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.","Después de guardar tus cambios, presiona este botón para aplicar los cambios a tu modelo.",True
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,Guarda tu personaje. El botón para guardar se encuentra debajo de la lista de personajes en el lado izquierdo de la interfaz.,True
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,Por favor lee el manual para usar texturas personalizadas antes de utilizar esta función.,True
MainMenu.Editor.Texture.CustomTexture,Custom Texture,Textura personalizada,True
MainMenu.Editor.Texture.Step1,Step 1,Paso 1,True
MainMenu.Editor.Texture.Step2,Step 2,Paso 2,True
MainMenu.Editor.Texture.Step3,Step 3,Paso 3,True
MainMenu.Editor.Texture.Step4,Step 4,Paso 4,True
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,Corregir el contorno seleccionado,True
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,Corregir el atlas seleccionado,True
MainMenu.Editor.Texture.TextureUtility,Texture Utility,Utilidad de texturas,True
MainMenu.Editor.Texture.SelectAll,Select All,Seleccionar todo,True
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,Alternar selección ,True
MainMenu.Editor.Texture.AtlasList,Atlas List,Lista de atlas,True
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,Esto restablecerá las páginas del atlas seleccionadas a las versiones integradas. Cualquier edición no guardada se perderá y no se podrá recuperar. ¿Continuar?,True
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,Algoritmo de paleta,True
MainMenu.Editor.Texture.AlphaBleedWarning,This will overwrite the selected texture files and cannot be undone. Continue?,Esto sobrescribirá los archivos de textura seleccionados y no se podrá deshacer. ¿Continuar?,False
MainMenu.TranslationInfo.Message,"Some languages are translated by our community or assisted by machine translation, so quality may vary.

You can change the language in Settings.

See our {0}.

Want to contribute? Join us on {1}.","Algunos idiomas son traducidos por nuestra comunidad o asistidos por traducción automática, por lo que la calidad puede variar.

Puedes cambiar el idioma en Configuración.

Vea nuestros {0}.

¿Quieres contribuir? Únase a nosotros en {1}.",False
MainMenu.TranslationInfo.ContributorsLinkLabel,community contributors on GitHub,contribuyentes de la comunidad en GitHub,False
MainMenu.TranslationInfo.DontShowAgain,Don't show this again,No vuelvas a mostrar esto,False
MainMenu.Editor.AssetTypeWS,Workshop,Taller,False
MainMenu.Editor.WorkshopPublishPopup.Title.Model,Publish Model to Workshop,Publicar modelo en taller,False
MainMenu.Editor.WorkshopPublishPopup.Title.Character,Publish Character to Workshop,Publicar personaje en el taller,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode,Upload mode,Modo de carga,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.CreateNew,Create new item,Crear nuevo artículo,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.UpdateExisting,Update existing item,Actualizar elemento existente,False
MainMenu.Editor.WorkshopPublishPopup.ItemtoUpdate,Item to update,Artículo para actualizar,False
MainMenu.Editor.WorkshopPublishPopup.Field.Title,Title,Título,False
MainMenu.Editor.WorkshopPublishPopup.Field.Description,Description,Descripción,False
MainMenu.Editor.WorkshopPublishPopup.Field.Visibility,Visibility,Visibilidad,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Public,Public,Público,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.FriendsOnly,Friends Only,Sólo amigos,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Private,Private,Privado,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Unlisted,Unlisted,No estante en la lista,False
MainMenu.Editor.WorkshopPublishPopup.Field.ChangeNote,Change note,Cambiar nota,False
MainMenu.Editor.WorkshopPublishPopup.Field.RequiredItems,Required Items (PublishedFileIds),Elementos necesarios (PublishedFileIds),False
MainMenu.Editor.WorkshopPublishPopup.Field.PreviewImagePath,Preview image (PNG/JPG path),Imagen de vista previa (ruta PNG/JPG),False
MainMenu.Editor.WorkshopPublishPopup.Button.Publish,Publish,Publicar,False
MainMenu.Editor.WorkshopPublishPopup.Button.Cancel,Cancel,Cancelar,False
MainMenu.Editor.WorkshopPublishPopup.Picker.Loading,(loading...),(cargando...),False
MainMenu.Editor.WorkshopPublishPopup.Picker.NoPublishedItems,(no published items),(no hay artículos publicados),False
MainMenu.Editor.WorkshopPublishPopup.Picker.SteamNotReady,(Steam not ready),(El vapor no está listo),False
MainMenu.Editor.WorkshopPublishPopup.Status.WaitingForSteamMetadata,Waiting for Steam metadata...,Esperando metadatos de Steam...,False
MainMenu.Editor.WorkshopPublishPopup.Status.SelectItemToUpdate,Select a published Workshop item to update.,Seleccione un elemento de Workshop publicado para actualizar.,False
MainMenu.Editor.WorkshopPublishPopup.Status.TitleRequired,Title is required.,Se requiere título.,False
MainMenu.Editor.WorkshopPublishPopup.Status.FixPreviewBeforePublishing,Fix the preview image before publishing.,Corrige la imagen de vista previa antes de publicarla.,False
MainMenu.Editor.WorkshopPublishPopup.Status.CreatingItem,Creating Workshop item...,Creando elemento de taller...,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadingItem,Uploading Workshop item...,Subiendo elemento del taller...,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewNotFound,Preview image file not found.,Archivo de imagen de vista previa no encontrado.,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewInvalidFormat,"Preview image must be a PNG, JPG, or GIF.","La imagen de vista previa debe ser PNG, JPG o GIF.",False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewTooLarge,Preview image must be 1 MB or smaller (currently {0} KB).,La imagen de vista previa debe tener 1 MB o menos (actualmente {0} KB).,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewReadFailed,Failed to read preview image: {0},No se pudo leer la imagen de vista previa: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewDecodeFailed,Preview image could not be decoded.,La imagen de vista previa no se pudo decodificar.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdInvalid,Required PublishedFileId is invalid: {0},El PublishedFileId requerido no es válido: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.SteamNotInitialized,Steam is not initialized.,Steam no está inicializado.,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadSucceeded,Workshop item uploaded: {0},Artículo del taller subido: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.TempFolderModified,Publish staging files were modified. Close this dialog and publish again.,Se modificaron los archivos provisionales de publicación. Cierre este cuadro de diálogo y publíquelo nuevamente.,False
MainMenu.Editor.WorkshopPublishPopup.Status.ValidatingRequiredItems,Verifying required Workshop items...,Verificando los elementos de taller requeridos...,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdsQueryFailed,Failed to verify required Workshop items.,No se pudieron verificar los artículos requeridos del taller.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdNotFound,Workshop item {0} was not found or is not accessible.,El elemento del taller {0} no se encontró o no se puede acceder a él.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdWrongApp,Workshop item {0} does not belong to this app.,El artículo del taller {0} no pertenece a esta aplicación.,False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureFailed,Viewport capture failed: {0},Error en la captura de la ventana gráfica: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureSucceeded,Preview captured from viewport.,Vista previa capturada desde la ventana gráfica.,False
MainMenu.Editor.FileNameValidation.Label.Character,Character name,Nombre del personaje,False
MainMenu.Editor.FileNameValidation.Label.Scene,Scene name,Nombre de la escena,False
MainMenu.Editor.FileNameValidation.Label.SceneList,Scene list name,Nombre de la lista de escenas,False
MainMenu.Editor.FileNameValidation.Empty,{0} cannot be empty.,{0} no puede estar vacío.,False
MainMenu.Editor.FileNameValidation.TooLong,{0} cannot exceed {1} characters.,{0} no puede exceder los {1} caracteres.,False
MainMenu.Editor.FileNameValidation.InvalidCharacter,{0} cannot contain '{1}'.,{0} no puede contener '{1}'.,False
MainMenu.Editor.FileNameValidation.WindowsReserved,'{1}' is a reserved name and cannot be used.,'{1}' es un nombre reservado y no se puede utilizar.,False
MainMenu.Editor.FileNameValidation.AppReserved,'{1}' is reserved and cannot be used as {0}.,'{1}' está reservado y no se puede utilizar como {0}.,False
MainMenu.Editor.FileNameValidation.EndsWithDot,{0} cannot end with a dot.,{0} no puede terminar con un punto.,False
MainMenu.Editor.FileNameValidation.DuplicateInList,A {0} with this name already exists in the list.,Ya existe un {0} con este nombre en la lista.,False
MainMenu.Editor.Confirmation.Label.Character,Character,Personaje,False
MainMenu.Editor.Confirmation.Label.Scene,Scene,Escena,False
MainMenu.Editor.Confirmation.Label.SceneList,Scene list,Lista de escenas,False
MainMenu.Editor.DeleteConfirmation,"Are you sure you want to delete {0} ""{1}""? This action cannot be undone.","¿Está seguro de que desea eliminar {0} ""{1}""? Esta acción no se puede deshacer.",False
MainMenu.Editor.OverwriteExistingConfirmation,"{0} ""{1}"" already exist. Are you sure you want to overwrite {0} ""{1}""? This action cannot be undone.","{0} ""{1}"" ya existe. ¿Está seguro de que desea sobrescribir {0} ""{1}""? Esta acción no se puede deshacer.",False
MainMenu.Editor.OverwriteSelectedConfirmation,"A {0} ""{1}"" is selected. Overwrite it or Create a new entry?","Se selecciona un {0} ""{1}"". ¿Sobrescribirlo o crear una nueva entrada?",False
MainMenu.Editor.OverwriteConfirmation.Overwrite,Overwrite,Exagerar,False
MainMenu.Editor.OverwriteConfirmation.CreateNew,Create New,Crear nuevo,False
MainMenu.Editor.UnsavedChangeConfirmation,"{0} ""{1}"" has unsaved changes. Apply before continuing?","{0} ""{1}"" tiene cambios sin guardar. ¿Aplicar antes de continuar?",False
MainMenu.Editor.UnsavedChangeConfirmation.Apply,Apply,Aplicar,False
MainMenu.Editor.UnsavedChangeConfirmation.Discard,Discard,Desechar,False
MainMenu.Editor.UnsavedNewConfirmation,This {0} has not been saved. Save before continuing?,Este {0} no se ha guardado. ¿Guardar antes de continuar?,False
MainMenu.Editor.UnsavedNewConfirmation.Save,Save,Ahorrar,False
MainMenu.Editor.Layers,Layers,capas,False
MainMenu.Editor.LayerProperties,Properties,Propiedades,False
MainMenu.Editor.ModelProperties,Model Properties,Propiedades del modelo,False
MainMenu.Editor.TextProperty.Text,Text,Texto,False
MainMenu.Editor.TextProperty.Font,Font,Fuente,False
MainMenu.Editor.TextProperty.Size,Size,Tamaño,False
MainMenu.Editor.TextProperty.PositionX,Position X,Posición X,False
MainMenu.Editor.TextProperty.PositionY,Position Y,Posición Y,False
MainMenu.Editor.TextProperty.Rotation,Rotation,Rotación,False
MainMenu.Editor.TextProperty.CharacterSpacing,Character Spacing,Espaciado de caracteres,False
MainMenu.Editor.TextProperty.LineSpacing,Line Spacing,Interlineado,False
MainMenu.Editor.TextProperty.Outline,Outline,Describir,False
MainMenu.Editor.TextProperty.OutlineThickness,Thickness,Espesor,False
MainMenu.Editor.TextProperty.Underlay,Underlay,Subyacer,False
MainMenu.Editor.TextProperty.UnderlayDilate,Dilate,Dilatar,False
MainMenu.Editor.TextProperty.UnderlayOffsetX,Offset X,Desplazamiento X,False
MainMenu.Editor.TextProperty.UnderlayOffsetY,Offset Y,Compensación Y,False
MainMenu.Editor.LayerType.Model,Model,Modelo,False
MainMenu.Editor.LayerType.Image,Image,Imagen,False
MainMenu.Editor.LayerType.Text,Text,Texto,False
MainMenu.Editor.Playback,Playback,Reproducción,False
MainMenu.Editor.SceneList,Scene List,Lista de escenas,False
MainMenu.Editor.Scenes,Scenes,Escenas,False
MainMenu.Editor.ExportAllScenes,Export All Scenes,Exportar todas las escenas,False
MainMenu.Editor.SceneListExport.Title,Exporting scene list,Exportar lista de escenas,False
MainMenu.Editor.SceneListExport.Preparing,Preparing export...,Preparando exportación...,False
MainMenu.Editor.SceneListExport.Progress,Exporting {0}/{1}: {2},Exportando {0}/{1}: {2},False
MainMenu.Editor.SceneListExport.Failed,Export failed,Exportación fallida,False
MainMenu.Editor.SceneListExport.Finished,Export finished,Exportación finalizada,False
MainMenu.Editor.SceneListExport.Cancelled,Export cancelled,Exportación cancelada,False
MainMenu.Editor.SceneListExport.Complete,Export complete,Exportación completa,False
MainMenu.Editor.SceneListExport.CompleteExclamation,Export complete!,¡Exportación completa!,False
MainMenu.Editor.SceneListExport.CancelledSummary,"Export cancelled ({0}/{1} exported, {2} failed).","Exportación cancelada ({0}/{1} exportada, {2} fallida).",False
MainMenu.Editor.SceneListExport.CancelledWithFailures,"Export complete ({0}/{1} exported, {2} failed).","Exportación completa ({0}/{1} exportada, {2} falló).",False
MainMenu.Editor.SceneListExport.CompleteWithFailures,"Export complete ({0}/{1} exported, {2} failed).","Exportación completa ({0}/{1} exportada, {2} falló).",False
MainMenu.Editor.SceneListExport.ErrorMessage,Error: {0},Error: {0},False
MainMenu.Editor.OpenExportLocation,Open Export Location,Abrir ubicación de exportación,False
