Key,en,sv,reviewed
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,Använder Global Color Table,False
MainMenu.Editor.ExportStatic,Export Static Image,Exportera statisk bild,False
MainMenu.Editor.Player.Speed,Speed,Hastighet,False
MainMenu.Settings.StaticImageSettings,Static Image Settings,Statiska bildinställningar,False
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,Återställ inställningar för statisk bild,False
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,Samplingsfrekvens,False
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,Denna växling låter dig växla mellan den interna och den anpassade texturen,False
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,Redigera PNG:erna i mappen Custom Texture. Spara med genomskinlighet och ändra inte bildstorleken,False
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.",När du har sparat dina ändringar klickar du på den här knappen för att tillämpa ändringarna på din modell.,False
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,Rädda din karaktär. Spara-knappen finns under teckenlistan på vänster sida av gränssnittet.,False
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,Läs manualen Använda anpassade texturer innan du använder den här funktionen.,False
MainMenu.Editor.Texture.CustomTexture,Custom Texture,Anpassad textur,False
MainMenu.Editor.Texture.Step1,Step 1,Steg 1,False
MainMenu.Editor.Texture.Step2,Step 2,Steg 2,False
MainMenu.Editor.Texture.Step3,Step 3,Steg 3,False
MainMenu.Editor.Texture.Step4,Step 4,Steg 4,False
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,Fixa vald kontur,False
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,Återställ vald atlas,False
MainMenu.Editor.Texture.TextureUtility,Texture Utility,Texture Utility,False
MainMenu.Editor.Texture.SelectAll,Select All,Välj Alla,False
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,Växla val,False
MainMenu.Editor.Texture.AtlasList,Atlas List,Atlas lista,False
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,Detta kommer att återställa de valda atlassidorna till de inbyggda versionerna. Alla osparade redigeringar går förlorade och kan inte återställas. Fortsätta?,False
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,Palettalgoritm,False
MainMenu.Editor.Texture.AlphaBleedWarning,This will overwrite the selected texture files and cannot be undone. Continue?,Detta kommer att skriva över de valda texturfilerna och kan inte ångras. Fortsätta?,False
MainMenu.TranslationInfo.Message,"Some languages are translated by our community or assisted by machine translation, so quality may vary.

You can change the language in Settings.

See our {0}.

Want to contribute? Join us on {1}.","Vissa språk översätts av vår community eller assisteras av maskinöversättning, så kvaliteten kan variera.

Du kan ändra språket i Inställningar.

Se våra {0}.

Vill du bidra? Gå med oss ​​på {1}.",False
MainMenu.TranslationInfo.ContributorsLinkLabel,community contributors on GitHub,community-bidragsgivare på GitHub,False
MainMenu.TranslationInfo.DontShowAgain,Don't show this again,Visa inte detta igen,False
MainMenu.Editor.AssetTypeWS,Workshop,Verkstad,False
MainMenu.Editor.WorkshopPublishPopup.Title.Model,Publish Model to Workshop,Publicera Model to Workshop,False
MainMenu.Editor.WorkshopPublishPopup.Title.Character,Publish Character to Workshop,Publicera karaktär till verkstad,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode,Upload mode,Uppladdningsläge,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.CreateNew,Create new item,Skapa nytt objekt,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.UpdateExisting,Update existing item,Uppdatera befintligt objekt,False
MainMenu.Editor.WorkshopPublishPopup.ItemtoUpdate,Item to update,Objekt att uppdatera,False
MainMenu.Editor.WorkshopPublishPopup.Field.Title,Title,Titel,False
MainMenu.Editor.WorkshopPublishPopup.Field.Description,Description,Beskrivning,False
MainMenu.Editor.WorkshopPublishPopup.Field.Visibility,Visibility,Synlighet,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Public,Public,Offentlig,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.FriendsOnly,Friends Only,Endast vänner,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Private,Private,Privat,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Unlisted,Unlisted,Onoterat,False
MainMenu.Editor.WorkshopPublishPopup.Field.ChangeNote,Change note,Ändra anteckning,False
MainMenu.Editor.WorkshopPublishPopup.Field.RequiredItems,Required Items (PublishedFileIds),Obligatoriska objekt (PublishedFileIds),False
MainMenu.Editor.WorkshopPublishPopup.Field.PreviewImagePath,Preview image (PNG/JPG path),Förhandsgranska bild (PNG/JPG sökväg),False
MainMenu.Editor.WorkshopPublishPopup.Button.Publish,Publish,Publicera,False
MainMenu.Editor.WorkshopPublishPopup.Button.Cancel,Cancel,Avboka,False
MainMenu.Editor.WorkshopPublishPopup.Picker.Loading,(loading...),(belastning...),False
MainMenu.Editor.WorkshopPublishPopup.Picker.NoPublishedItems,(no published items),(inga publicerade föremål),False
MainMenu.Editor.WorkshopPublishPopup.Picker.SteamNotReady,(Steam not ready),(Steam inte redo),False
MainMenu.Editor.WorkshopPublishPopup.Status.WaitingForSteamMetadata,Waiting for Steam metadata...,Väntar på Steam-metadata...,False
MainMenu.Editor.WorkshopPublishPopup.Status.SelectItemToUpdate,Select a published Workshop item to update.,Välj ett publicerat verkstadsobjekt att uppdatera.,False
MainMenu.Editor.WorkshopPublishPopup.Status.TitleRequired,Title is required.,Titel krävs.,False
MainMenu.Editor.WorkshopPublishPopup.Status.FixPreviewBeforePublishing,Fix the preview image before publishing.,Fixa förhandsgranskningsbilden innan publicering.,False
MainMenu.Editor.WorkshopPublishPopup.Status.CreatingItem,Creating Workshop item...,Skapar verkstadsobjekt...,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadingItem,Uploading Workshop item...,Laddar upp verkstadsobjekt...,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewNotFound,Preview image file not found.,Förhandsgranskningsbildfilen hittades inte.,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewInvalidFormat,"Preview image must be a PNG, JPG, or GIF.","Förhandsgranskningsbilden måste vara en PNG, JPG eller GIF.",False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewTooLarge,Preview image must be 1 MB or smaller (currently {0} KB).,Förhandsgranskningsbilden måste vara 1 MB eller mindre (för närvarande {0} KB).,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewReadFailed,Failed to read preview image: {0},Det gick inte att läsa förhandsgranskningsbilden: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewDecodeFailed,Preview image could not be decoded.,Förhandsgranskningsbilden kunde inte avkodas.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdInvalid,Required PublishedFileId is invalid: {0},Obligatoriskt PublishedFileId är ogiltigt: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.SteamNotInitialized,Steam is not initialized.,Steam initieras inte.,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadSucceeded,Workshop item uploaded: {0},Verkstadsobjekt laddat upp: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.TempFolderModified,Publish staging files were modified. Close this dialog and publish again.,Publicera mellanlagringsfiler har ändrats. Stäng den här dialogrutan och publicera igen.,False
MainMenu.Editor.WorkshopPublishPopup.Status.ValidatingRequiredItems,Verifying required Workshop items...,Verifierar obligatoriska verkstadsobjekt...,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdsQueryFailed,Failed to verify required Workshop items.,Det gick inte att verifiera obligatoriska verkstadsartiklar.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdNotFound,Workshop item {0} was not found or is not accessible.,Verkstadsobjektet {0} hittades inte eller är inte tillgängligt.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdWrongApp,Workshop item {0} does not belong to this app.,Verkstadsobjektet {0} tillhör inte den här appen.,False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureFailed,Viewport capture failed: {0},Viewport-fångst misslyckades: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureSucceeded,Preview captured from viewport.,Förhandsvisning fångad från viewport.,False
MainMenu.Editor.FileNameValidation.Label.Character,Character name,Karaktärens namn,False
MainMenu.Editor.FileNameValidation.Label.Scene,Scene name,Scennamn,False
MainMenu.Editor.FileNameValidation.Label.SceneList,Scene list name,Scenlistans namn,False
MainMenu.Editor.FileNameValidation.Empty,{0} cannot be empty.,{0} får inte vara tom.,False
MainMenu.Editor.FileNameValidation.TooLong,{0} cannot exceed {1} characters.,{0} får inte överstiga {1} tecken.,False
MainMenu.Editor.FileNameValidation.InvalidCharacter,{0} cannot contain '{1}'.,{0} kan inte innehålla '{1}'.,False
MainMenu.Editor.FileNameValidation.WindowsReserved,'{1}' is a reserved name and cannot be used.,'{1}' är ett reserverat namn och kan inte användas.,False
MainMenu.Editor.FileNameValidation.AppReserved,'{1}' is reserved and cannot be used as {0}.,'{1}' är reserverad och kan inte användas som {0}.,False
MainMenu.Editor.FileNameValidation.EndsWithDot,{0} cannot end with a dot.,{0} kan inte sluta med en punkt.,False
MainMenu.Editor.FileNameValidation.DuplicateInList,A {0} with this name already exists in the list.,En {0} med detta namn finns redan i listan.,False
MainMenu.Editor.Confirmation.Label.Character,Character,Karaktär,False
MainMenu.Editor.Confirmation.Label.Scene,Scene,Scen,False
MainMenu.Editor.Confirmation.Label.SceneList,Scene list,Scenlista,False
MainMenu.Editor.DeleteConfirmation,"Are you sure you want to delete {0} ""{1}""? This action cannot be undone.","Är du säker på att du vill ta bort {0} ""{1}""? Denna åtgärd kan inte ångras.",False
MainMenu.Editor.OverwriteExistingConfirmation,"{0} ""{1}"" already exist. Are you sure you want to overwrite {0} ""{1}""? This action cannot be undone.","{0} ""{1}"" finns redan. Är du säker på att du vill skriva över {0} ""{1}""? Denna åtgärd kan inte ångras.",False
MainMenu.Editor.OverwriteSelectedConfirmation,"A {0} ""{1}"" is selected. Overwrite it or Create a new entry?","Ett {0} ""{1}"" har valts. Skriv över den eller skapa en ny post?",False
MainMenu.Editor.OverwriteConfirmation.Overwrite,Overwrite,Skriva över,False
MainMenu.Editor.OverwriteConfirmation.CreateNew,Create New,Skapa nytt,False
MainMenu.Editor.UnsavedChangeConfirmation,"{0} ""{1}"" has unsaved changes. Apply before continuing?","{0} ""{1}"" har osparade ändringar. Ansök innan du fortsätter?",False
MainMenu.Editor.UnsavedChangeConfirmation.Apply,Apply,Tillämpas,False
MainMenu.Editor.UnsavedChangeConfirmation.Discard,Discard,Kassera,False
MainMenu.Editor.UnsavedNewConfirmation,This {0} has not been saved. Save before continuing?,Denna {0} har inte sparats. Spara innan du fortsätter?,False
MainMenu.Editor.UnsavedNewConfirmation.Save,Save,Spara,False
MainMenu.Editor.Layers,Layers,Lager,False
MainMenu.Editor.LayerProperties,Properties,Egenskaper,False
MainMenu.Editor.ModelProperties,Model Properties,Modellegenskaper,False
MainMenu.Editor.TextProperty.Text,Text,Text,False
MainMenu.Editor.TextProperty.Font,Font,Font,False
MainMenu.Editor.TextProperty.Size,Size,Storlek,False
MainMenu.Editor.TextProperty.PositionX,Position X,Position X,False
MainMenu.Editor.TextProperty.PositionY,Position Y,Position Y,False
MainMenu.Editor.TextProperty.Rotation,Rotation,Rotation,False
MainMenu.Editor.TextProperty.CharacterSpacing,Character Spacing,Teckenavstånd,False
MainMenu.Editor.TextProperty.LineSpacing,Line Spacing,Linjeavstånd,False
MainMenu.Editor.TextProperty.Outline,Outline,Skissera,False
MainMenu.Editor.TextProperty.OutlineThickness,Thickness,Tjocklek,False
MainMenu.Editor.TextProperty.Underlay,Underlay,Underlag,False
MainMenu.Editor.TextProperty.UnderlayDilate,Dilate,Utvidga,False
MainMenu.Editor.TextProperty.UnderlayOffsetX,Offset X,Offset X,False
MainMenu.Editor.TextProperty.UnderlayOffsetY,Offset Y,Offset Y,False
MainMenu.Editor.LayerType.Model,Model,Modell,False
MainMenu.Editor.LayerType.Image,Image,Bild,False
MainMenu.Editor.LayerType.Text,Text,Text,False
MainMenu.Editor.Playback,Playback,Uppspelning,False
MainMenu.Editor.SceneList,Scene List,Scenlista,False
MainMenu.Editor.Scenes,Scenes,Scener,False
MainMenu.Editor.ExportAllScenes,Export All Scenes,Exportera alla scener,False
MainMenu.Editor.SceneListExport.Title,Exporting scene list,Exporterar scenlista,False
MainMenu.Editor.SceneListExport.Preparing,Preparing export...,Förbereder export...,False
MainMenu.Editor.SceneListExport.Progress,Exporting {0}/{1}: {2},Exporterar {0}/{1}: {2},False
MainMenu.Editor.SceneListExport.Failed,Export failed,Exporten misslyckades,False
MainMenu.Editor.SceneListExport.Finished,Export finished,Exporten avslutad,False
MainMenu.Editor.SceneListExport.Cancelled,Export cancelled,Exporten avbröts,False
MainMenu.Editor.SceneListExport.Complete,Export complete,Exporten klar,False
MainMenu.Editor.SceneListExport.CompleteExclamation,Export complete!,Exporten klar!,False
MainMenu.Editor.SceneListExport.CancelledSummary,"Export cancelled ({0}/{1} exported, {2} failed).","Exporten avbröts ({0}/{1} exporterade, {2} misslyckades).",False
MainMenu.Editor.SceneListExport.CancelledWithFailures,"Export complete ({0}/{1} exported, {2} failed).","Exporten slutförd ({0}/{1} exporterad, {2} misslyckades).",False
MainMenu.Editor.SceneListExport.CompleteWithFailures,"Export complete ({0}/{1} exported, {2} failed).","Exporten slutförd ({0}/{1} exporterad, {2} misslyckades).",False
MainMenu.Editor.SceneListExport.ErrorMessage,Error: {0},Fel: {0},False
MainMenu.Editor.OpenExportLocation,Open Export Location,Öppna Exportplats,False
MainMenu.Editor.CameraProperties,Camera Properties,Kameraegenskaper,False
MainMenu.Editor.CameraProperty.PositionX,Position X,Position X,False
MainMenu.Editor.CameraProperty.PositionY,Position Y,Position Y,False
MainMenu.Editor.CameraProperty.Size,Size,Storlek,False
MainMenu.Editor.CameraProperty.Rotation,Rotation,Rotation,False
MainMenu.Editor.ModelProperty.Mirror,Mirror,Spegel,False
MainMenu.Editor.ModelProperty.Outline,Outline,Skissera,False
MainMenu.Editor.ModelProperty.OutlineThickness,Thickness,Tjocklek,False
MainMenu.Settings.ExportSettings.Quality,Quality,Kvalitet,False
MainMenu.Settings.ExportSettings.LoopCount,Loop Count,Loop Count,False
MainMenu.Settings.ExportSettings.Lossless,Lossless,Förlustfri,False
MainMenu.Settings.ExportSettings.WebPQualityInfo,"With Lossless on, higher quality means a smaller file and slower encode. Looks stay the same. With Lossless off, higher quality means better looks and a larger file.","Med Lossless på betyder högre kvalitet en mindre fil och långsammare kodning. Utseendet förblir detsamma. Med Lossless av, betyder högre kvalitet bättre utseende och en större fil.",False
MainMenu.Settings.ExportSettings.WebPLoopCountInfo,How many times the animation repeats. 0 = loop forever.,Hur många gånger animeringen upprepas. 0 = slinga för alltid.,False
MainMenu.Settings.ExportSettings.WebmInfo,"VP9, BT.709, Full Range color","VP9, BT.709, Full Range färg",False
MainMenu.Settings.ExportSettings.WebmCQLevel,CQ Level,CQ-nivå,False
MainMenu.Settings.ExportSettings.WebmCQLevelInfo,"lower CQ Level means bigger file, better quality; higher CQ Level means more compression, smaller file, worse quality","lägre CQ-nivå betyder större fil, bättre kvalitet; högre CQ Level betyder mer komprimering, mindre fil, sämre kvalitet",False
MainMenu.Settings.ExportSettings.WebmSpeed,Speed,Hastighet,False
MainMenu.Settings.ExportSettings.WebmSpeedInfo,"Lower speed means slower encode, better quality and usually smaller file","Lägre hastighet innebär långsammare kodning, bättre kvalitet och vanligtvis mindre fil",False
MainMenu.Workshop.ItemType.All,All Types,Alla typer,False
MainMenu.Workshop.ItemType.Model,Model,Modell,False
MainMenu.Workshop.ItemType.Character,Character,Karaktär,False
MainMenu.Workshop.ItemType.Unknown,Unknown,Okänd,False
MainMenu.Workshop.Tab.Browse,Browse,Bläddra,False
MainMenu.Workshop.Tab.Subscribed,Subscribed,Prenumererade,False
MainMenu.Workshop.Tab.Published,Published,Publicerad,False
MainMenu.Workshop.Badge.Subscribed,Subscribed,Prenumererade,False
MainMenu.Workshop.Author.Loading,Loading...,Belastning...,False
MainMenu.Workshop.Author.Unknown,Unknown,Okänd,False
MainMenu.Workshop.Pager.FirstPage,First page,Första sidan,False
MainMenu.Workshop.Pager.PreviousPage,Previous page,Föregående sida,False
MainMenu.Workshop.Pager.NextPage,Next page,Nästa sida,False
MainMenu.Workshop.Pager.LastPage,Last page,Sista sidan,False
MainMenu.Workshop.Pager.Summary,Page {0} of {1} ({2} items),Sida {0} av {1} ({2} objekt),False
MainMenu.Workshop.Status.Loading,Loading Workshop items...,Laddar verkstadsobjekt...,False
MainMenu.Workshop.Status.SteamNotRunning,Steam is not running. Start EmoteLab through Steam to browse the Workshop.,Steam körs inte. Starta EmoteLab genom Steam för att bläddra i verkstaden.,False
MainMenu.Workshop.Status.CouldNotLoad,Could not load Workshop items.,Det gick inte att läsa in verkstadsobjekt.,False
MainMenu.Workshop.Status.NoMoreResults,No more results are available from Steam.,Inga fler resultat är tillgängliga från Steam.,False
MainMenu.Workshop.Status.NoMatches,No Workshop items matched your search.,Inga verkstadsartiklar matchade din sökning.,False
MainMenu.Workshop.Status.NotSubscribedToAny,You are not subscribed to any matching Workshop items.,Du prenumererar inte på några matchande Workshop-objekt.,False
MainMenu.Workshop.Status.NotPublishedAny,You have not published any matching Workshop items.,Du har inte publicerat några matchande verkstadsobjekt.,False
MainMenu.Workshop.Status.QueryAlreadyRunning,Another Workshop query is already running.,En annan Workshop-fråga körs redan.,False
MainMenu.Workshop.Status.QueryRefused,Steam refused the Workshop query request.,Steam avslog Workshop-frågan.,False
MainMenu.Workshop.Status.QueryFailed,Workshop query failed: {0},Verkstadsfråga misslyckades: {0},False
MainMenu.Workshop.ItemPopup.Header,Workshop Item,Verkstadsföremål,False
MainMenu.Workshop.ItemPopup.Author,Author,Författare,False
MainMenu.Workshop.ItemPopup.Type,Type,Typ,False
MainMenu.Workshop.ItemPopup.Size,Size,Storlek,False
MainMenu.Workshop.ItemPopup.Posted,Posted,Postat,False
MainMenu.Workshop.ItemPopup.Updated,Updated,Uppdaterad,False
MainMenu.Workshop.ItemPopup.NotEnoughRatings,Not enough ratings,Inte tillräckligt med betyg,False
MainMenu.Workshop.ItemPopup.Subscribe,Subscribe,Prenumerera,False
MainMenu.Workshop.ItemPopup.Unsubscribe,Unsubscribe,Avsluta prenumeration,False
MainMenu.Workshop.ItemPopup.OpenInBrowser,Open in Browser,Öppna i webbläsare,False
MainMenu.Workshop.ItemPopup.Close,Close,Nära,False
MainMenu.Workshop.ItemPopup.Status.SubmittingRating,Submitting rating...,Skickar betyg...,False
MainMenu.Workshop.ItemPopup.Status.RateFailed,Failed to rate this item.,Det gick inte att betygsätta denna artikel.,False
MainMenu.Workshop.ItemPopup.Status.RatingSubmitted,Rating submitted.,Betyg har skickats.,False
MainMenu.Workshop.ItemPopup.Status.Subscribing,Subscribing...,Prenumererar...,False
MainMenu.Workshop.ItemPopup.Status.Unsubscribing,Unsubscribing...,Avslutar prenumeration...,False
MainMenu.Workshop.ItemPopup.Status.SubscribeFailed,Failed to subscribe to this item.,Det gick inte att prenumerera på det här objektet.,False
MainMenu.Workshop.ItemPopup.Status.UnsubscribeFailed,Failed to unsubscribe from this item.,Det gick inte att avsluta prenumerationen på det här objektet.,False
MainMenu.Workshop.ItemPopup.Status.Subscribed,Subscribed.,Prenumererade.,False
MainMenu.Workshop.ItemPopup.Status.Unsubscribed,Unsubscribed. The item will be removed by Steam.,Avslutad prenumeration. Objektet kommer att tas bort av Steam.,False
