Key,en,ru,reviewed
MainMenu.Settings.ViewportSettings.ViewportRotationSpeed,Rotation Speed,Скорость вращения,False
MainMenu.Settings.ViewportSettings.ModelScale,Model Scale,Масштаб модели,False
MainMenu.Settings.ViewportSettings.ModelOffsetHorizontal,Offset Horizontal,Смещение по горизонтали,False
MainMenu.Settings.ViewportSettings.ModelOffsetVertical,Offset Vertical,Смещение по вертикали,False
MainMenu.Settings.ViewportSettings.ResetViewportSettings,Reset Viewport Settings,Сбросить настройки видового экрана,False
MainMenu.Settings.ExportSettings,Animation Export Settings,Настройки экспорта анимации,False
MainMenu.Settings.ExportSettings.SaveLocation,Save Location,Сохранить местоположение,False
MainMenu.Settings.ExportSettings.ExportPresets,Export Presets,Экспорт пресетов,False
MainMenu.Settings.ExportSettings.Encoder,Encoder,Кодер,False
MainMenu.Settings.ExportSettings.Width,Width,Ширина,False
MainMenu.Settings.ExportSettings.Height,Height,Высота,False
MainMenu.Settings.ExportSettings.FPS,FPS,ФПС,False
MainMenu.Settings.ExportSettings.LimitMaxFrameCount,Limit Max. Frame Count,Ограничение Макс. Количество кадров,False
MainMenu.Settings.ExportSettings.MaxFrameCount,Max. Frame Count,Макс. Количество кадров,False
MainMenu.Settings.ExportSettings.AlphaThreshold,Alpha Threshold,Альфа-порог,False
MainMenu.Settings.ExportSettings.EnableDithering,Enable Dithering,Включить сглаживание,False
MainMenu.Settings.ExportSettings.ResetExportSettings,Reset Export Settings,Сбросить настройки экспорта,False
MainMenu.Editor.Export,Export Emote,Экспортировать эмоцию,False
LicensePopup.ThirdPartyLicense.Notice,License provided by the model creator. Displayed for reference only and does not represent the EmoteLab developer’s views or legal position. ,Лицензия предоставлена ​​создателем модели. Отображается только для справки и не отражает точку зрения или правовую позицию разработчика EmoteLab.,False
LicensePopup.ThirdPartyLicense.NotFound,"The creator of this third-party model has not provided a license or usage terms with the model. Before using this model in public, commercial, or professional contexts, you should confirm the permitted scope of use directly with the model's creator.",Лицензия не найдена. Подтвердите разрешенное использование у создателя.,False
LicensePopup.Close,Close,Закрывать,False
MainMenu.Editor.OpenExportFolder,Open Export Folder,Открыть папку экспорта,False
MainMenu.Settings.ModelSettings.LoadSampleCharacters,Load Sample Characters for Built-in Models,Загрузка образцов символов для встроенных моделей,False
MainMenu.Settings.ModelSettings,Model Settings,Настройки модели,False
MainMenu.Editor.CharacterPopup.SavingCharacter,Saving Character Data...,Сохранение данных персонажа...,False
MainMenu.Editor.CharacterPopup.LoadingCharacter,Loading Character...,Загрузка персонажа...,False
MainMenu.Info.ThirdPartyLicense,Third Party Licenses,Лицензии третьих лиц,False
MainMenu.Info.EmoteLabEULA,End User License Agreement (EULA),Лицензионное соглашение с конечным пользователем (EULA),False
MainMenu.Info.Documentation,Documentation,Документация,False
MainMenu.Info.Discord,Join Our Discord,Присоединяйтесь к нашему дискорду,False
MainMenu.Settings.ExportSettings.PresetsInfo,"This preset sets the correct format and dimensions. Very long animations may exceed platform file size limits, and some platforms restrict certain content.","Этот пресет устанавливает правильный формат и размеры. Очень длинные анимации могут превышать ограничения размера файла платформы, а некоторые платформы ограничивают определенный контент.",False
MainMenu.Settings.ModelSettings.OpenLocalModelFolder,Open Local Model Folder,Открыть локальную папку модели,False
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,Открыть папку персонажей,False
MainMenu.Info.Log,Open Log Folder,Открыть папку журнала,False
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,Использование глобальной таблицы цветов,False
MainMenu.Editor.ExportStatic,Export Static Image,Экспорт статического изображения,False
MainMenu.Editor.Player.Speed,Speed,Скорость,False
MainMenu.Settings.StaticImageSettings,Static Image Settings,Настройки статического изображения,False
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,Сбросить настройки статического изображения,False
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,Частота выборки,False
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,Этот переключатель позволяет переключаться между внутренней и пользовательской текстурой.,False
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,Отредактируйте PNG в папке «Пользовательская текстура». Сохраняйте с прозрачностью и не изменяйте размер изображения.,False
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.","После сохранения изменений нажмите эту кнопку, чтобы применить изменения к вашей модели.",False
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,Сохраните своего персонажа. Кнопка сохранения расположена под списком персонажей в левой части интерфейса.,False
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,Перед использованием этой функции прочтите руководство «Использование пользовательских текстур».,False
MainMenu.Editor.Texture.CustomTexture,Custom Texture,Пользовательская текстура,False
MainMenu.Editor.Texture.Step1,Step 1,Шаг 1,False
MainMenu.Editor.Texture.Step2,Step 2,Шаг 2,False
MainMenu.Editor.Texture.Step3,Step 3,Шаг 3,False
MainMenu.Editor.Texture.Step4,Step 4,Шаг 4,False
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,Исправить выбранный контур,False
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,Сбросить выбранный атлас,False
MainMenu.Editor.Texture.TextureUtility,Texture Utility,Утилита текстур,False
MainMenu.Editor.Texture.SelectAll,Select All,Выбрать все,False
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,Переключить выбор,False
MainMenu.Editor.Texture.AtlasList,Atlas List,Список Атласов,False
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,При этом выбранные страницы атласа будут сброшены до встроенных версий. Любые несохраненные изменения будут потеряны и не подлежат восстановлению. Продолжать?,False
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,Алгоритм палитры,False
MainMenu.Editor.Texture.AlphaBleedWarning,This will overwrite the selected texture files and cannot be undone. Continue?,Это приведет к перезаписи выбранных файлов текстур и не может быть отменено. Продолжать?,False
MainMenu.TranslationInfo.Message,"Some languages are translated by our community or assisted by machine translation, so quality may vary.

You can change the language in Settings.

See our {0}.

Want to contribute? Join us on {1}.","Некоторые языки переводятся нашим сообществом или с помощью машинного перевода, поэтому качество может отличаться.

Вы можете изменить язык в настройках.

См. наших {0}.

Хотите внести свой вклад? Присоединяйтесь к нам в {1}.",False
MainMenu.TranslationInfo.ContributorsLinkLabel,community contributors on GitHub,участники сообщества на GitHub,False
MainMenu.TranslationInfo.DontShowAgain,Don't show this again,Больше не показывать это,False
MainMenu.Editor.AssetTypeWS,Workshop,Мастерская,False
MainMenu.Editor.WorkshopPublishPopup.Title.Model,Publish Model to Workshop,Публикация модели в мастерской,False
MainMenu.Editor.WorkshopPublishPopup.Title.Character,Publish Character to Workshop,Публикация персонажа в Мастерской,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode,Upload mode,Режим загрузки,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.CreateNew,Create new item,Создать новый элемент,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.UpdateExisting,Update existing item,Обновить существующий элемент,False
MainMenu.Editor.WorkshopPublishPopup.ItemtoUpdate,Item to update,Элемент для обновления,False
MainMenu.Editor.WorkshopPublishPopup.Field.Title,Title,Заголовок,False
MainMenu.Editor.WorkshopPublishPopup.Field.Description,Description,Описание,False
MainMenu.Editor.WorkshopPublishPopup.Field.Visibility,Visibility,Видимость,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Public,Public,Общественный,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.FriendsOnly,Friends Only,Только друзья,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Private,Private,Частный,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Unlisted,Unlisted,Нет в списке,False
MainMenu.Editor.WorkshopPublishPopup.Field.ChangeNote,Change note,Изменить примечание,False
MainMenu.Editor.WorkshopPublishPopup.Field.RequiredItems,Required Items (PublishedFileIds),Обязательные элементы (PublishedFileIds),False
MainMenu.Editor.WorkshopPublishPopup.Field.PreviewImagePath,Preview image (PNG/JPG path),Изображение для предварительного просмотра (путь PNG/JPG),False
MainMenu.Editor.WorkshopPublishPopup.Button.Publish,Publish,Публиковать,False
MainMenu.Editor.WorkshopPublishPopup.Button.Cancel,Cancel,Отмена,False
MainMenu.Editor.WorkshopPublishPopup.Picker.Loading,(loading...),(загрузка...),False
MainMenu.Editor.WorkshopPublishPopup.Picker.NoPublishedItems,(no published items),(нет опубликованных материалов),False
MainMenu.Editor.WorkshopPublishPopup.Picker.SteamNotReady,(Steam not ready),(Пар не готов),False
MainMenu.Editor.WorkshopPublishPopup.Status.WaitingForSteamMetadata,Waiting for Steam metadata...,Ожидание метаданных Steam...,False
MainMenu.Editor.WorkshopPublishPopup.Status.SelectItemToUpdate,Select a published Workshop item to update.,Выберите опубликованный элемент Мастерской для обновления.,False
MainMenu.Editor.WorkshopPublishPopup.Status.TitleRequired,Title is required.,Необходимо указать название.,False
MainMenu.Editor.WorkshopPublishPopup.Status.FixPreviewBeforePublishing,Fix the preview image before publishing.,Исправьте изображение предварительного просмотра перед публикацией.,False
MainMenu.Editor.WorkshopPublishPopup.Status.CreatingItem,Creating Workshop item...,Создание предмета Мастерской...,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadingItem,Uploading Workshop item...,Загрузка предмета Мастерской...,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewNotFound,Preview image file not found.,Файл изображения предварительного просмотра не найден.,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewInvalidFormat,"Preview image must be a PNG, JPG, or GIF.","Изображение для предварительного просмотра должно быть в формате PNG, JPG или GIF.",False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewTooLarge,Preview image must be 1 MB or smaller (currently {0} KB).,Размер изображения для предварительного просмотра должен составлять 1 МБ или меньше (сейчас {0} КБ).,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewReadFailed,Failed to read preview image: {0},Не удалось прочитать изображение предварительного просмотра: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewDecodeFailed,Preview image could not be decoded.,Изображение предварительного просмотра не удалось декодировать.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdInvalid,Required PublishedFileId is invalid: {0},Требуемый PublishedFileId недействителен: {0}.,False
MainMenu.Editor.WorkshopPublishPopup.Status.SteamNotInitialized,Steam is not initialized.,Steam не инициализируется.,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadSucceeded,Workshop item uploaded: {0},Загружен предмет мастерской: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.TempFolderModified,Publish staging files were modified. Close this dialog and publish again.,Промежуточные файлы публикации были изменены. Закройте это диалоговое окно и опубликуйте снова.,False
MainMenu.Editor.WorkshopPublishPopup.Status.ValidatingRequiredItems,Verifying required Workshop items...,Проверка необходимых предметов Мастерской...,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdsQueryFailed,Failed to verify required Workshop items.,Не удалось проверить необходимые предметы Мастерской.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdNotFound,Workshop item {0} was not found or is not accessible.,Объект мастерской {0} не найден или недоступен.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdWrongApp,Workshop item {0} does not belong to this app.,Объект мастерской {0} не принадлежит этому приложению.,False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureFailed,Viewport capture failed: {0},Не удалось захватить область просмотра: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureSucceeded,Preview captured from viewport.,Предварительный просмотр сделан из видового экрана.,False
MainMenu.Editor.FileNameValidation.Label.Character,Character name,Имя персонажа,False
MainMenu.Editor.FileNameValidation.Label.Scene,Scene name,Название сцены,False
MainMenu.Editor.FileNameValidation.Label.SceneList,Scene list name,Название списка сцен,False
MainMenu.Editor.FileNameValidation.Empty,{0} cannot be empty.,{0} не может быть пустым.,False
MainMenu.Editor.FileNameValidation.TooLong,{0} cannot exceed {1} characters.,{0} не может превышать {1} символов.,False
MainMenu.Editor.FileNameValidation.InvalidCharacter,{0} cannot contain '{1}'.,{0} не может содержать '{1}'.,False
MainMenu.Editor.FileNameValidation.WindowsReserved,'{1}' is a reserved name and cannot be used.,"'{1}' — зарезервированное имя, и его нельзя использовать.",False
MainMenu.Editor.FileNameValidation.AppReserved,'{1}' is reserved and cannot be used as {0}.,'{1}' зарезервирован и не может использоваться как {0}.,False
MainMenu.Editor.FileNameValidation.EndsWithDot,{0} cannot end with a dot.,{0} не может заканчиваться точкой.,False
MainMenu.Editor.FileNameValidation.DuplicateInList,A {0} with this name already exists in the list.,{0} с таким именем уже существует в списке.,False
MainMenu.Editor.Confirmation.Label.Character,Character,Характер,False
MainMenu.Editor.Confirmation.Label.Scene,Scene,Сцена,False
MainMenu.Editor.Confirmation.Label.SceneList,Scene list,Список сцен,False
MainMenu.Editor.DeleteConfirmation,"Are you sure you want to delete {0} ""{1}""? This action cannot be undone.","Вы уверены, что хотите удалить {0} ""{1}""? Это действие невозможно отменить.",False
MainMenu.Editor.OverwriteExistingConfirmation,"{0} ""{1}"" already exist. Are you sure you want to overwrite {0} ""{1}""? This action cannot be undone.","{0} ""{1}"" уже существует. Вы уверены, что хотите перезаписать {0} ""{1}""? Это действие невозможно отменить.",False
MainMenu.Editor.OverwriteSelectedConfirmation,"A {0} ""{1}"" is selected. Overwrite it or Create a new entry?","Выбран {0} ""{1}"". Перезаписать или создать новую запись?",False
MainMenu.Editor.OverwriteConfirmation.Overwrite,Overwrite,Перезаписать,False
MainMenu.Editor.OverwriteConfirmation.CreateNew,Create New,Создать новый,False
MainMenu.Editor.UnsavedChangeConfirmation,"{0} ""{1}"" has unsaved changes. Apply before continuing?","{0} ""{1}"" содержит несохраненные изменения. Подать заявку, прежде чем продолжить?",False
MainMenu.Editor.UnsavedChangeConfirmation.Apply,Apply,Применять,False
MainMenu.Editor.UnsavedChangeConfirmation.Discard,Discard,Отказаться,False
MainMenu.Editor.UnsavedNewConfirmation,This {0} has not been saved. Save before continuing?,"Этот {0} не был сохранен. Сохранить, прежде чем продолжить?",False
MainMenu.Editor.UnsavedNewConfirmation.Save,Save,Сохранять,False
MainMenu.Editor.Layers,Layers,Слои,False
MainMenu.Editor.LayerProperties,Properties,Характеристики,False
MainMenu.Editor.ModelProperties,Model Properties,Свойства модели,False
MainMenu.Editor.TextProperty.Text,Text,Текст,False
MainMenu.Editor.TextProperty.Font,Font,Шрифт,False
MainMenu.Editor.TextProperty.Size,Size,Размер,False
MainMenu.Editor.TextProperty.PositionX,Position X,Позиция X,False
MainMenu.Editor.TextProperty.PositionY,Position Y,Позиция Y,False
MainMenu.Editor.TextProperty.Rotation,Rotation,Вращение,False
MainMenu.Editor.TextProperty.CharacterSpacing,Character Spacing,Расстояние между символами,False
MainMenu.Editor.TextProperty.LineSpacing,Line Spacing,Межстрочный интервал,False
MainMenu.Editor.TextProperty.Outline,Outline,Контур,False
MainMenu.Editor.TextProperty.OutlineThickness,Thickness,Толщина,False
MainMenu.Editor.TextProperty.Underlay,Underlay,Подложка,False
MainMenu.Editor.TextProperty.UnderlayDilate,Dilate,Расширить,False
MainMenu.Editor.TextProperty.UnderlayOffsetX,Offset X,Смещение X,False
MainMenu.Editor.TextProperty.UnderlayOffsetY,Offset Y,Смещение Y,False
MainMenu.Editor.LayerType.Model,Model,Модель,False
MainMenu.Editor.LayerType.Image,Image,Изображение,False
MainMenu.Editor.LayerType.Text,Text,Текст,False
MainMenu.Editor.Playback,Playback,Воспроизведение,False
MainMenu.Editor.SceneList,Scene List,Список сцен,False
MainMenu.Editor.Scenes,Scenes,Сцены,False
MainMenu.Editor.ExportAllScenes,Export All Scenes,Экспортировать все сцены,False
MainMenu.Editor.SceneListExport.Title,Exporting scene list,Экспорт списка сцен,False
MainMenu.Editor.SceneListExport.Preparing,Preparing export...,Подготовка экспорта...,False
MainMenu.Editor.SceneListExport.Progress,Exporting {0}/{1}: {2},Экспорт {0}/{1}: {2},False
MainMenu.Editor.SceneListExport.Failed,Export failed,Экспорт не удался,False
MainMenu.Editor.SceneListExport.Finished,Export finished,Экспорт завершен,False
MainMenu.Editor.SceneListExport.Cancelled,Export cancelled,Экспорт отменен,False
MainMenu.Editor.SceneListExport.Complete,Export complete,Экспорт завершен,False
MainMenu.Editor.SceneListExport.CompleteExclamation,Export complete!,Экспорт завершен!,False
MainMenu.Editor.SceneListExport.CancelledSummary,"Export cancelled ({0}/{1} exported, {2} failed).","Экспорт отменен (экспортировано: {0}/{1}, {2} не удалось).",False
MainMenu.Editor.SceneListExport.CancelledWithFailures,"Export complete ({0}/{1} exported, {2} failed).","Экспорт завершен (экспортировано: {0}/{1}, {2} не удалось).",False
MainMenu.Editor.SceneListExport.CompleteWithFailures,"Export complete ({0}/{1} exported, {2} failed).","Экспорт завершен (экспортировано: {0}/{1}, {2} не удалось).",False
MainMenu.Editor.SceneListExport.ErrorMessage,Error: {0},Ошибка: {0},False
MainMenu.Editor.OpenExportLocation,Open Export Location,Открыть папку экспорта,False
