Key,en,zh-Hant,reviewed
Sticker Exclamation Mark,Sticker Exclamation Mark,表情貼紙 驚嘆號,True
Sticker Ghost,Sticker Ghost,表情貼紙 幽靈,True
Sticker Heart,Sticker Heart,表情貼紙 愛心,True
Sticker Laugh,Sticker Laugh,表情貼紙 笑,True
Sticker Question Mark,Sticker Question Mark,表情貼紙 問號,True
Sticker Sleep,Sticker Sleep,表情貼紙 睡覺,True
Sticker Star,Sticker Star,表情貼紙 星星,True
Sticker Steam,Sticker Steam,表情貼紙 氣,True
Sticker Surprise,Sticker Surprise,表情貼紙 驚嚇,True
Sticker Sweat,Sticker Sweat,表情貼紙 汗,True
Sticker Sweat (Large),Sticker Sweat (Large),表情貼紙 汗（大）,True
Sticker Volume,Sticker Volume,表情貼紙 音量,True
Sticky Note,Sticky Note,表情貼紙 便利貼,True
Sticky Note Text,Sticky Note Text,表情貼紙 便利貼 文字,True
Eye Tear,Eye Tear,眼睛 眼淚,True
Utensil,Utensil,餐具,True
Outfit Collar String,Outfit Collar String,服裝 領子 抽繩,True
Bell,Bell,鈴鐺,True
Confetti 1,Confetti 1,彩色紙屑 1,True
Confetti 2,Confetti 2,彩色紙屑 2,True
Confetti 3,Confetti 3,彩色紙屑 3,True
Microphone,Microphone,麥克風,True
Gleam,Gleam,光暈,True
Video Camera,Video Camera,攝影機,True
Point Hand,Point Hand,指人手,True
Bowl,Bowl,碗,True
Cake,Cake,蛋糕,True
Candle Fire,Candle Fire,蠟燭 火焰,True
Drawing Tablet,Drawing Tablet,繪圖板,True
Love Letter,Love Letter,情書,True
Popper,Popper,拉炮,True
Stylus,Stylus,觸控筆,True
Tablet,Tablet,繪圖板,True
Musical Note 1,Musical Note 1,音樂 音符 1,True
Musical Note 2,Musical Note 2,音樂 音符 2,True
Phone Screen,Phone Screen,手機 螢幕,True
Tail,Tail,尾巴,True
Tail Outline,Tail Outline,尾巴 輪廓,True
Wing >>,Wing >>,翅膀 >>,True
Wing >> Outline,Wing >> Outline,翅膀 >> 輪廓,True
Wing <<,Wing <<,翅膀 <<,True
Wing << Outline,Wing << Outline,翅膀 << 輪廓,True
Cape,Cape,斗篷,True
Cape Outline,Cape Outline,斗篷 輪廓,True
Cheek,Cheek,臉頰,True
Cockroach,Cockroach,蟑螂,True
Controller,Controller,手把,True
Donut,Donut,甜甜圈,True
Earring >>,Earring >>,耳環 >>,True
Earring <<,Earring <<,耳環 <<,True
Earring >> Outline,Earring >> Outline,耳環 >> 輪廓,True
Earring << Outline,Earring << Outline,耳環 << 輪廓,True
Face Feature A >>,Face Feature A >>,臉部特徵 A >>,True
Face Feature A <<,Face Feature A <<,臉部特徵 A <<,True
Face Feature B >>,Face Feature B >>,臉部特徵 B >>,True
Face Feature B <<,Face Feature B <<,臉部特徵 B <<,True
Face Feature C,Face Feature C,臉部特徵 C,True
Facial Hair A,Facial Hair A,鬍子 A,True
Facial Hair A Outline,Facial Hair A Outline,鬍子 A 輪廓,True
Facial Hair B,Facial Hair B,鬍子 B,True
Facial Hair B Outline,Facial Hair B Outline,鬍子 B 輪廓,True
Glove >>,Glove >>,手套 >>,True
Glove >> Outline,Glove >> Outline,手套 >> 輪廓,True
Glove <<,Glove <<,手套 <<,True
Glove << Outline,Glove << Outline,手套 << 輪廓,True
Hand >>,Hand >>,手 >>,True
Hand >> Outline,Hand >> Outline,手 >> 輪廓,True
Hand <<,Hand <<,手 <<,True
Hand << Outline,Hand << Outline,手 << 輪廓,True
Gun,Gun,槍,True
Gun Flash,Gun Flash,槍口閃光,True
Lubricant,Lubricant,潤滑劑,True
Megaphone,Megaphone,擴音器,True
Nose,Nose,鼻子,True
Piercing A >>,Piercing A >>,耳釘 A >>,True
Piercing A >> Outline,Piercing A >> Outline,耳釘 A >> 輪廓,True
Piercing A <<,Piercing A <<,耳釘 A <<,True
Piercing A << Outline,Piercing A << Outline,耳釘 A << 輪廓,True
Piercing B >>,Piercing B >>,耳釘 B >>,True
Piercing B >> Outline,Piercing B >> Outline,耳釘 B >> 輪廓,True
Piercing B <<,Piercing B <<,耳釘 B <<,True
Piercing B << Outline,Piercing B << Outline,耳釘 B << 輪廓,True
Pixel Sun Glasses,Pixel Sun Glasses,像素太陽眼鏡,True
Pompom >>,Pompom >>,啦啦隊彩球 >>,True
Pompom <<,Pompom <<,啦啦隊彩球 <<,True
Spray,Spray,噴霧,True
Sticker Light Bulb,Sticker Light Bulb,表情貼紙 燈泡,True
Sticker Loading,Sticker Loading,表情貼紙 載入中,True
Sunglasses,Sunglasses,太陽眼鏡,True
Sunglasses Reflection,Sunglasses Reflection,太陽眼鏡 反光,True
Tape,Tape,膠帶,True
Toilet,Toilet,馬桶,True
Trash Bin,Trash Bin,垃圾桶,True
Wave Hand,Wave Hand,揮手 手,True
Swatter,Swatter,蒼蠅拍,True
Hair Ponytail,Hair Ponytail,頭髮 馬尾,True
Hair Ponytail Outline,Hair Ponytail Outline,頭髮 馬尾 輪廓,True
Eyepatch,Eyepatch,眼罩,True
Eyepatch Outline,Eyepatch Outline,眼罩 輪廓,True
Number Six,Number Six,數字 6,True
Number Seven,Number Seven,數字 7,True
Cheese,Cheese,起司,True
Electric Fan,Electric Fan,電風扇,True
Electric Fan Blades,Electric Fan Blades,電風扇 扇葉,True
Flame Inner Layer,Flame Inner Layer,火焰 內層,True
Flame Outer Layer,Flame Outer Layer,火焰 外層,True
FoldingFan1,Folding Fan 1,折扇 1,True
FoldingFan2,Folding Fan 2,折扇 2,True
Guitar Color 1,Guitar Color 1,吉他 顏色 1,True
Guitar Color 2,Guitar Color 2,吉他 顏色 2,True
Guitar Color 3,Guitar Color 3,吉他 顏色 3,True
Guitar Outline, Guitar Outline,吉他 輪廓,True
Slipper,Slipper,拖鞋,True
Stool,Stool,凳子,True
Wink Star,Wink Star,眨眼 星星,True
Cup Liquid,Cup Liquid,杯中液體,True
Interact Hand,Interact Hand,互動手,True
Progress Bar Container,Progress Bar Container,進度條 外框,True
Progress Bar Fill,Progress Bar Fill,進度條 填充,True
