Key,en,it,reviewed
MainMenu.Settings.ModelSettings.LoadSampleCharacters,Load Sample Characters for Built-in Models,Carica caratteri di esempio per i modelli incorporati,False
MainMenu.Settings.ModelSettings,Model Settings,Impostazioni del modello,False
MainMenu.Editor.CharacterPopup.SavingCharacter,Saving Character Data...,Salvataggio dei dati del personaggio...,False
MainMenu.Editor.CharacterPopup.LoadingCharacter,Loading Character...,Caricamento carattere...,False
MainMenu.Info.ThirdPartyLicense,Third Party Licenses,Licenze di terze parti,False
MainMenu.Info.EmoteLabEULA,End User License Agreement (EULA),Contratto di licenza con l'utente finale (EULA),False
MainMenu.Info.Documentation,Documentation,Documentazione,False
MainMenu.Info.Discord,Join Our Discord,Unisciti alla nostra discordia,False
MainMenu.Settings.ExportSettings.PresetsInfo,"This preset sets the correct format and dimensions. Very long animations may exceed platform file size limits, and some platforms restrict certain content.",Questa preimpostazione imposta il formato e le dimensioni corretti. Le animazioni molto lunghe potrebbero superare i limiti di dimensione dei file della piattaforma e alcune piattaforme limitano determinati contenuti.,False
MainMenu.Settings.ModelSettings.OpenLocalModelFolder,Open Local Model Folder,Apri la cartella del modello locale,False
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,Apri la cartella dei caratteri,False
MainMenu.Info.Log,Open Log Folder,Apri la cartella registro,False
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,Utilizzo della tabella dei colori globale,False
MainMenu.Editor.ExportStatic,Export Static Image,Esporta immagine statica,False
MainMenu.Editor.Player.Speed,Speed,Velocità,False
MainMenu.Settings.StaticImageSettings,Static Image Settings,Impostazioni dell'immagine statica,False
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,Ripristina le impostazioni dell'immagine statica,False
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,Frequenza di campionamento,False
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,Questo interruttore ti consente di passare dalla texture interna a quella personalizzata,False
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,Modifica i PNG nella cartella Texture personalizzata. Salva con trasparenza e non modifica le dimensioni dell'immagine,False
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.","Dopo aver salvato le modifiche, fai clic su questo pulsante per applicare le modifiche al tuo modello.",False
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,Salva il tuo personaggio. Il pulsante Salva si trova sotto l'elenco dei personaggi sul lato sinistro dell'interfaccia.,False
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,Si prega di leggere il manuale Utilizzo di texture personalizzate prima di utilizzare questa funzione.,False
MainMenu.Editor.Texture.CustomTexture,Custom Texture,Trama personalizzata,False
MainMenu.Editor.Texture.Step1,Step 1,Passaggio 1,False
MainMenu.Editor.Texture.Step2,Step 2,Passaggio 2,False
MainMenu.Editor.Texture.Step3,Step 3,Passaggio 3,False
MainMenu.Editor.Texture.Step4,Step 4,Passaggio 4,False
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,Correggi il contorno selezionato,False
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,Reimposta l'atlante selezionato,False
MainMenu.Editor.Texture.TextureUtility,Texture Utility,Utilità delle texture,False
MainMenu.Editor.Texture.SelectAll,Select All,Seleziona tutto,False
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,Attiva/Disattiva selezione,False
MainMenu.Editor.Texture.AtlasList,Atlas List,Elenco dell'Atlante,False
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,Ciò ripristinerà le pagine dell'atlante selezionate alle versioni integrate. Eventuali modifiche non salvate andranno perse e non potranno essere recuperate. Continuare?,False
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,Algoritmo della tavolozza,False
MainMenu.Editor.Texture.AlphaBleedWarning,This will overwrite the selected texture files and cannot be undone. Continue?,Ciò sovrascriverà i file di texture selezionati e non può essere annullato. Continuare?,False
MainMenu.TranslationInfo.Message,"Some languages are translated by our community or assisted by machine translation, so quality may vary.

You can change the language in Settings.

See our {0}.

Want to contribute? Join us on {1}.","Alcune lingue sono tradotte dalla nostra community o assistite dalla traduzione automatica, quindi la qualità può variare.

Puoi cambiare la lingua in Impostazioni.

Vedi i nostri {0}.

Vuoi contribuire? Unisciti a noi su {1}.",False
MainMenu.TranslationInfo.ContributorsLinkLabel,community contributors on GitHub,contributori della community su GitHub,False
MainMenu.TranslationInfo.DontShowAgain,Don't show this again,Non mostrarlo più,False
MainMenu.Editor.AssetTypeWS,Workshop,Officina,False
MainMenu.Editor.WorkshopPublishPopup.Title.Model,Publish Model to Workshop,Pubblica il modello nel workshop,False
MainMenu.Editor.WorkshopPublishPopup.Title.Character,Publish Character to Workshop,Pubblica il personaggio nel Workshop,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode,Upload mode,Modalità di caricamento,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.CreateNew,Create new item,Crea nuovo elemento,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.UpdateExisting,Update existing item,Aggiorna l'elemento esistente,False
MainMenu.Editor.WorkshopPublishPopup.ItemtoUpdate,Item to update,Articolo da aggiornare,False
MainMenu.Editor.WorkshopPublishPopup.Field.Title,Title,Titolo,False
MainMenu.Editor.WorkshopPublishPopup.Field.Description,Description,Descrizione,False
MainMenu.Editor.WorkshopPublishPopup.Field.Visibility,Visibility,Visibilità,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Public,Public,Pubblico,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.FriendsOnly,Friends Only,Solo amici,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Private,Private,Privato,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Unlisted,Unlisted,Non elencato,False
MainMenu.Editor.WorkshopPublishPopup.Field.ChangeNote,Change note,Cambia nota,False
MainMenu.Editor.WorkshopPublishPopup.Field.RequiredItems,Required Items (PublishedFileIds),Elementi richiesti (PublishedFileId),False
MainMenu.Editor.WorkshopPublishPopup.Field.PreviewImagePath,Preview image (PNG/JPG path),Immagine di anteprima (percorso PNG/JPG),False
MainMenu.Editor.WorkshopPublishPopup.Button.Publish,Publish,Pubblicare,False
MainMenu.Editor.WorkshopPublishPopup.Button.Cancel,Cancel,Cancellare,False
MainMenu.Editor.WorkshopPublishPopup.Picker.Loading,(loading...),(caricamento...),False
MainMenu.Editor.WorkshopPublishPopup.Picker.NoPublishedItems,(no published items),(nessun articolo pubblicato),False
MainMenu.Editor.WorkshopPublishPopup.Picker.SteamNotReady,(Steam not ready),(Vapore non pronto),False
MainMenu.Editor.WorkshopPublishPopup.Status.WaitingForSteamMetadata,Waiting for Steam metadata...,In attesa dei metadati di Steam...,False
MainMenu.Editor.WorkshopPublishPopup.Status.SelectItemToUpdate,Select a published Workshop item to update.,Seleziona un elemento del Workshop pubblicato da aggiornare.,False
MainMenu.Editor.WorkshopPublishPopup.Status.TitleRequired,Title is required.,Il titolo è obbligatorio.,False
MainMenu.Editor.WorkshopPublishPopup.Status.FixPreviewBeforePublishing,Fix the preview image before publishing.,Correggi l'immagine di anteprima prima della pubblicazione.,False
MainMenu.Editor.WorkshopPublishPopup.Status.CreatingItem,Creating Workshop item...,Creazione oggetto del Workshop...,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadingItem,Uploading Workshop item...,Caricamento elemento del Workshop...,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewNotFound,Preview image file not found.,File immagine di anteprima non trovato.,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewInvalidFormat,"Preview image must be a PNG, JPG, or GIF.","L'immagine di anteprima deve essere PNG, JPG o GIF.",False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewTooLarge,Preview image must be 1 MB or smaller (currently {0} KB).,L'immagine di anteprima deve essere di 1 MB o più piccola (attualmente {0} KB).,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewReadFailed,Failed to read preview image: {0},Impossibile leggere l'immagine di anteprima: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewDecodeFailed,Preview image could not be decoded.,Impossibile decodificare l'immagine di anteprima.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdInvalid,Required PublishedFileId is invalid: {0},PublishedFileId obbligatorio non è valido: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.SteamNotInitialized,Steam is not initialized.,Steam non è inizializzato.,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadSucceeded,Workshop item uploaded: {0},Articolo del workshop caricato: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.TempFolderModified,Publish staging files were modified. Close this dialog and publish again.,I file di staging di pubblicazione sono stati modificati. Chiudi questa finestra di dialogo e pubblica di nuovo.,False
MainMenu.Editor.WorkshopPublishPopup.Status.ValidatingRequiredItems,Verifying required Workshop items...,Verifica degli articoli del Workshop richiesti...,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdsQueryFailed,Failed to verify required Workshop items.,Impossibile verificare gli articoli del Workshop richiesti.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdNotFound,Workshop item {0} was not found or is not accessible.,L'elemento del workshop {0} non è stato trovato o non è accessibile.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdWrongApp,Workshop item {0} does not belong to this app.,L'articolo del workshop {0} non appartiene a questa app.,False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureFailed,Viewport capture failed: {0},Acquisizione del viewport non riuscita: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureSucceeded,Preview captured from viewport.,Anteprima catturata dal viewport.,False
MainMenu.Editor.FileNameValidation.Label.Character,Character name,Nome del personaggio,False
MainMenu.Editor.FileNameValidation.Label.Scene,Scene name,Nome della scena,False
MainMenu.Editor.FileNameValidation.Label.SceneList,Scene list name,Nome dell'elenco delle scene,False
MainMenu.Editor.FileNameValidation.Empty,{0} cannot be empty.,{0} non può essere vuoto.,False
MainMenu.Editor.FileNameValidation.TooLong,{0} cannot exceed {1} characters.,{0} non può contenere più di {1} caratteri.,False
MainMenu.Editor.FileNameValidation.InvalidCharacter,{0} cannot contain '{1}'.,{0} non può contenere '{1}'.,False
MainMenu.Editor.FileNameValidation.WindowsReserved,'{1}' is a reserved name and cannot be used.,'{1}' è un nome riservato e non può essere utilizzato.,False
MainMenu.Editor.FileNameValidation.AppReserved,'{1}' is reserved and cannot be used as {0}.,'{1}' è riservato e non può essere utilizzato come {0}.,False
MainMenu.Editor.FileNameValidation.EndsWithDot,{0} cannot end with a dot.,{0} non può terminare con un punto.,False
MainMenu.Editor.FileNameValidation.DuplicateInList,A {0} with this name already exists in the list.,Nell'elenco esiste già un {0} con questo nome.,False
MainMenu.Editor.Confirmation.Label.Character,Character,Carattere,False
MainMenu.Editor.Confirmation.Label.Scene,Scene,Scena,False
MainMenu.Editor.Confirmation.Label.SceneList,Scene list,Elenco delle scene,False
MainMenu.Editor.DeleteConfirmation,"Are you sure you want to delete {0} ""{1}""? This action cannot be undone.","Sei sicuro di voler eliminare {0} ""{1}""? Questa azione non può essere annullata.",False
MainMenu.Editor.OverwriteExistingConfirmation,"{0} ""{1}"" already exist. Are you sure you want to overwrite {0} ""{1}""? This action cannot be undone.","{0} ""{1}"" esiste già. Sei sicuro di voler sovrascrivere {0} ""{1}""? Questa azione non può essere annullata.",False
MainMenu.Editor.OverwriteSelectedConfirmation,"A {0} ""{1}"" is selected. Overwrite it or Create a new entry?","È selezionato un {0} ""{1}"". Sovrascriverlo o creare una nuova voce?",False
MainMenu.Editor.OverwriteConfirmation.Overwrite,Overwrite,Sovrascrivi,False
MainMenu.Editor.OverwriteConfirmation.CreateNew,Create New,Crea nuovo,False
MainMenu.Editor.UnsavedChangeConfirmation,"{0} ""{1}"" has unsaved changes. Apply before continuing?","{0} ""{1}"" presenta modifiche non salvate. Applicare prima di continuare?",False
MainMenu.Editor.UnsavedChangeConfirmation.Apply,Apply,Fare domanda a,False
MainMenu.Editor.UnsavedChangeConfirmation.Discard,Discard,Scartare,False
MainMenu.Editor.UnsavedNewConfirmation,This {0} has not been saved. Save before continuing?,Questo {0} non è stato salvato. Salvare prima di continuare?,False
MainMenu.Editor.UnsavedNewConfirmation.Save,Save,Salva,False
MainMenu.Editor.Layers,Layers,Strati,False
MainMenu.Editor.LayerProperties,Properties,Proprietà,False
MainMenu.Editor.ModelProperties,Model Properties,Proprietà del modello,False
MainMenu.Editor.TextProperty.Text,Text,Testo,False
MainMenu.Editor.TextProperty.Font,Font,Font,False
MainMenu.Editor.TextProperty.Size,Size,Misurare,False
MainMenu.Editor.TextProperty.PositionX,Position X,Posizione X,False
MainMenu.Editor.TextProperty.PositionY,Position Y,Posizione Y,False
MainMenu.Editor.TextProperty.Rotation,Rotation,Rotazione,False
MainMenu.Editor.TextProperty.CharacterSpacing,Character Spacing,Spaziatura caratteri,False
MainMenu.Editor.TextProperty.LineSpacing,Line Spacing,Interlinea,False
MainMenu.Editor.TextProperty.Outline,Outline,Contorno,False
MainMenu.Editor.TextProperty.OutlineThickness,Thickness,Spessore,False
MainMenu.Editor.TextProperty.Underlay,Underlay,Sottofondo,False
MainMenu.Editor.TextProperty.UnderlayDilate,Dilate,Dilatare,False
MainMenu.Editor.TextProperty.UnderlayOffsetX,Offset X,Scostamento X,False
MainMenu.Editor.TextProperty.UnderlayOffsetY,Offset Y,Scostamento Y,False
MainMenu.Editor.LayerType.Model,Model,Modello,False
MainMenu.Editor.LayerType.Image,Image,Immagine,False
MainMenu.Editor.LayerType.Text,Text,Testo,False
MainMenu.Editor.Playback,Playback,Riproduzione,False
MainMenu.Editor.SceneList,Scene List,Elenco delle scene,False
MainMenu.Editor.Scenes,Scenes,Scene,False
MainMenu.Editor.ExportAllScenes,Export All Scenes,Esporta tutte le scene,False
MainMenu.Editor.SceneListExport.Title,Exporting scene list,Esportazione dell'elenco delle scene,False
MainMenu.Editor.SceneListExport.Preparing,Preparing export...,Preparazione dell'esportazione...,False
MainMenu.Editor.SceneListExport.Progress,Exporting {0}/{1}: {2},Esportazione {0}/{1}: {2},False
MainMenu.Editor.SceneListExport.Failed,Export failed,Esportazione non riuscita,False
MainMenu.Editor.SceneListExport.Finished,Export finished,Esportazione terminata,False
MainMenu.Editor.SceneListExport.Cancelled,Export cancelled,Esportazione annullata,False
MainMenu.Editor.SceneListExport.Complete,Export complete,Esportazione completata,False
MainMenu.Editor.SceneListExport.CompleteExclamation,Export complete!,Esportazione completata!,False
MainMenu.Editor.SceneListExport.CancelledSummary,"Export cancelled ({0}/{1} exported, {2} failed).","Esportazione annullata ({0}/{1} esportata, {2} non riuscita).",False
MainMenu.Editor.SceneListExport.CancelledWithFailures,"Export complete ({0}/{1} exported, {2} failed).","Esportazione completata ({0}/{1} esportata, {2} non riuscita).",False
MainMenu.Editor.SceneListExport.CompleteWithFailures,"Export complete ({0}/{1} exported, {2} failed).","Esportazione completata ({0}/{1} esportata, {2} non riuscita).",False
MainMenu.Editor.SceneListExport.ErrorMessage,Error: {0},Errore: {0},False
MainMenu.Editor.OpenExportLocation,Open Export Location,Apri posizione di esportazione,False
MainMenu.Editor.CameraProperties,Camera Properties,Proprietà della fotocamera,False
MainMenu.Editor.CameraProperty.PositionX,Position X,Posizione X,False
MainMenu.Editor.CameraProperty.PositionY,Position Y,Posizione Y,False
MainMenu.Editor.CameraProperty.Size,Size,Misurare,False
MainMenu.Editor.CameraProperty.Rotation,Rotation,Rotazione,False
MainMenu.Editor.ModelProperty.Mirror,Mirror,Specchio,False
MainMenu.Editor.ModelProperty.Outline,Outline,Contorno,False
MainMenu.Editor.ModelProperty.OutlineThickness,Thickness,Spessore,False
