Key,en,fr,reviewed
MainMenu.Settings.ExportSettings.PresetsInfo,"This preset sets the correct format and dimensions. Very long animations may exceed platform file size limits, and some platforms restrict certain content.","Ce préréglage définit le format et les dimensions corrects. Les animations très longues peuvent dépasser les limites de taille de fichier de la plateforme, et certaines plateformes restreignent certains contenus.",True
MainMenu.Settings.ModelSettings.OpenLocalModelFolder,Open Local Model Folder,Ouvrir le dossier du modèle local,True
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,Ouvrir le dossier des personnages,True
MainMenu.Info.Log,Open Log Folder,Ouvrir le dossier du journal,True
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,Utilisation de la table de couleurs globale,True
MainMenu.Editor.ExportStatic,Export Static Image,Exporter une image statique,True
MainMenu.Editor.Player.Speed,Speed,Vitesse,True
MainMenu.Settings.StaticImageSettings,Static Image Settings,Paramètres de l'image statique,True
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,Réinitialiser les paramètres de l'image statique,True
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,Taux d'échantillonnage,True
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,Cette option vous permet de basculer entre la texture interne et la texture personnalisée,True
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,Modifiez les fichiers PNG dans le dossier des textures personnalisées. Enregistrez avec la transparence et ne modifiez pas les dimensions de l'image,True
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.","Après avoir enregistré vos modifications, cliquez sur ce bouton pour appliquer les modifications à votre modèle.",True
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,Enregistrez votre personnage. Le bouton Enregistrer est situé sous la liste des personnages sur le côté gauche de l'interface.,True
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,Veuillez lire le manuel d'utilisation des textures personnalisées avant d'utiliser cette fonctionnalité.,True
MainMenu.Editor.Texture.CustomTexture,Custom Texture,Textures personnalisée,True
MainMenu.Editor.Texture.Step1,Step 1,Étape 1,True
MainMenu.Editor.Texture.Step2,Step 2,Étape 2,True
MainMenu.Editor.Texture.Step3,Step 3,Étape 3,True
MainMenu.Editor.Texture.Step4,Step 4,Étape 4,True
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,Corriger le contour sélectionné,True
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,Réinitialiser l'Atlas sélectionné,True
MainMenu.Editor.Texture.TextureUtility,Texture Utility,Utilitaire des textures,True
MainMenu.Editor.Texture.SelectAll,Select All,Sélectionner tout,True
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,Basculer la sélection,True
MainMenu.Editor.Texture.AtlasList,Atlas List,Liste de l'Atlas,True
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,Cela réinitialisera les pages d'atlas sélectionnées vers les versions d'origine. Toute modification non enregistrée sera perdue et irrécupérable. Continuer ?,True
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,Algorithme de palette,True
MainMenu.Editor.Texture.AlphaBleedWarning,This will overwrite the selected texture files and cannot be undone. Continue?,Cela écrasera les fichiers des textures sélectionnés et ne pourra pas être annulé. Continuer ?,False
MainMenu.TranslationInfo.Message,"Some languages are translated by our community or assisted by machine translation, so quality may vary.

You can change the language in Settings.

See our {0}.

Want to contribute? Join us on {1}.","Certaines langues sont traduites par notre communauté ou assistées par la traduction automatique, la qualité peut donc varier.

Vous pouvez changer la langue dans les Paramètres.

Consultez nos {0}.

Vous voulez contribuer ? Rejoignez-nous sur {1}.",False
MainMenu.TranslationInfo.ContributorsLinkLabel,community contributors on GitHub,contributeurs de la communauté sur GitHub,False
MainMenu.TranslationInfo.DontShowAgain,Don't show this again,Ne plus montrer ça,True
MainMenu.Editor.AssetTypeWS,Workshop,Atelier,False
MainMenu.Editor.WorkshopPublishPopup.Title.Model,Publish Model to Workshop,Publier le modèle dans l'atelier,False
MainMenu.Editor.WorkshopPublishPopup.Title.Character,Publish Character to Workshop,Publier un personnage dans l'atelier,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode,Upload mode,Mode de téléchargement,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.CreateNew,Create new item,Créer un nouvel élément,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.UpdateExisting,Update existing item,Mettre à jour l'élément existant,False
MainMenu.Editor.WorkshopPublishPopup.ItemtoUpdate,Item to update,Élément à mettre à jour,False
MainMenu.Editor.WorkshopPublishPopup.Field.Title,Title,Titre,False
MainMenu.Editor.WorkshopPublishPopup.Field.Description,Description,Description,False
MainMenu.Editor.WorkshopPublishPopup.Field.Visibility,Visibility,Visibilité,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Public,Public,Publique,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.FriendsOnly,Friends Only,Amis seulement,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Private,Private,Privé,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Unlisted,Unlisted,Non répertorié,False
MainMenu.Editor.WorkshopPublishPopup.Field.ChangeNote,Change note,Modifier la note,False
MainMenu.Editor.WorkshopPublishPopup.Field.RequiredItems,Required Items (PublishedFileIds),Éléments requis (PublishedFileIds),False
MainMenu.Editor.WorkshopPublishPopup.Field.PreviewImagePath,Preview image (PNG/JPG path),Image d'aperçu (chemin PNG/JPG),False
MainMenu.Editor.WorkshopPublishPopup.Button.Publish,Publish,Publier,False
MainMenu.Editor.WorkshopPublishPopup.Button.Cancel,Cancel,Annuler,False
MainMenu.Editor.WorkshopPublishPopup.Picker.Loading,(loading...),(chargement...),False
MainMenu.Editor.WorkshopPublishPopup.Picker.NoPublishedItems,(no published items),(aucun élément publié),False
MainMenu.Editor.WorkshopPublishPopup.Picker.SteamNotReady,(Steam not ready),(La vapeur n'est pas prête),False
MainMenu.Editor.WorkshopPublishPopup.Status.WaitingForSteamMetadata,Waiting for Steam metadata...,En attente des métadonnées Steam...,False
MainMenu.Editor.WorkshopPublishPopup.Status.SelectItemToUpdate,Select a published Workshop item to update.,Sélectionnez un élément d'atelier publié à mettre à jour.,False
MainMenu.Editor.WorkshopPublishPopup.Status.TitleRequired,Title is required.,Le titre est requis.,False
MainMenu.Editor.WorkshopPublishPopup.Status.FixPreviewBeforePublishing,Fix the preview image before publishing.,Corrigez l'image d'aperçu avant de publier.,False
MainMenu.Editor.WorkshopPublishPopup.Status.CreatingItem,Creating Workshop item...,Création d'un élément d'atelier...,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadingItem,Uploading Workshop item...,Téléchargement de l'élément d'atelier...,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewNotFound,Preview image file not found.,Fichier image d'aperçu introuvable.,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewInvalidFormat,"Preview image must be a PNG, JPG, or GIF.","L’image d’aperçu doit être au format PNG, JPG ou GIF.",False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewTooLarge,Preview image must be 1 MB or smaller (currently {0} KB).,L'image d'aperçu doit faire 1 Mo ou moins (actuellement {0} Ko).,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewReadFailed,Failed to read preview image: {0},Échec de la lecture de l'image d'aperçu : {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewDecodeFailed,Preview image could not be decoded.,L'image d'aperçu n'a pas pu être décodée.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdInvalid,Required PublishedFileId is invalid: {0},L'ID de fichier publié requis n'est pas valide : {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.SteamNotInitialized,Steam is not initialized.,Steam n'est pas initialisé.,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadSucceeded,Workshop item uploaded: {0},Élément d'atelier téléchargé : {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.TempFolderModified,Publish staging files were modified. Close this dialog and publish again.,Les fichiers de préparation de publication ont été modifiés. Fermez cette boîte de dialogue et publiez à nouveau.,False
MainMenu.Editor.WorkshopPublishPopup.Status.ValidatingRequiredItems,Verifying required Workshop items...,Vérification des éléments requis de l'atelier...,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdsQueryFailed,Failed to verify required Workshop items.,Échec de la vérification des éléments requis de l'atelier.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdNotFound,Workshop item {0} was not found or is not accessible.,L'élément d'atelier {0} n'a pas été trouvé ou n'est pas accessible.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdWrongApp,Workshop item {0} does not belong to this app.,L'élément d'atelier {0} n'appartient pas à cette application.,False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureFailed,Viewport capture failed: {0},Échec de la capture de la fenêtre : {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureSucceeded,Preview captured from viewport.,Aperçu capturé depuis la fenêtre.,False
MainMenu.Editor.FileNameValidation.Label.Character,Character name,Nom du personnage,False
MainMenu.Editor.FileNameValidation.Label.Scene,Scene name,Nom de la scène,False
MainMenu.Editor.FileNameValidation.Label.SceneList,Scene list name,Nom de la liste de scènes,False
MainMenu.Editor.FileNameValidation.Empty,{0} cannot be empty.,{0} ne peut pas être vide.,False
MainMenu.Editor.FileNameValidation.TooLong,{0} cannot exceed {1} characters.,{0} ne peut pas dépasser {1} caractères.,False
MainMenu.Editor.FileNameValidation.InvalidCharacter,{0} cannot contain '{1}'.,{0} ne peut pas contenir '{1}'.,False
MainMenu.Editor.FileNameValidation.WindowsReserved,'{1}' is a reserved name and cannot be used.,'{1}' est un nom réservé et ne peut pas être utilisé.,False
MainMenu.Editor.FileNameValidation.AppReserved,'{1}' is reserved and cannot be used as {0}.,'{1}' est réservé et ne peut pas être utilisé comme {0}.,False
MainMenu.Editor.FileNameValidation.EndsWithDot,{0} cannot end with a dot.,{0} ne peut pas se terminer par un point.,False
MainMenu.Editor.FileNameValidation.DuplicateInList,A {0} with this name already exists in the list.,Un {0} portant ce nom existe déjà dans la liste.,False
MainMenu.Editor.Confirmation.Label.Character,Character,Personnage,False
MainMenu.Editor.Confirmation.Label.Scene,Scene,Scène,False
MainMenu.Editor.Confirmation.Label.SceneList,Scene list,Liste des scènes,False
MainMenu.Editor.DeleteConfirmation,"Are you sure you want to delete {0} ""{1}""? This action cannot be undone.","Êtes-vous sûr de vouloir supprimer {0} ""{1}"" ? Cette action ne peut pas être annulée.",False
MainMenu.Editor.OverwriteExistingConfirmation,"{0} ""{1}"" already exist. Are you sure you want to overwrite {0} ""{1}""? This action cannot be undone.","{0} ""{1}"" existe déjà. Êtes-vous sûr de vouloir remplacer {0} ""{1}"" ? Cette action ne peut pas être annulée.",False
MainMenu.Editor.OverwriteSelectedConfirmation,"A {0} ""{1}"" is selected. Overwrite it or Create a new entry?","Un {0} ""{1}"" est sélectionné. L'écraser ou créer une nouvelle entrée ?",False
MainMenu.Editor.OverwriteConfirmation.Overwrite,Overwrite,Écraser,False
MainMenu.Editor.OverwriteConfirmation.CreateNew,Create New,Créer nouveau,False
MainMenu.Editor.UnsavedChangeConfirmation,"{0} ""{1}"" has unsaved changes. Apply before continuing?","{0} ""{1}"" comporte des modifications non enregistrées. Postuler avant de continuer ?",False
MainMenu.Editor.UnsavedChangeConfirmation.Apply,Apply,Appliquer,False
MainMenu.Editor.UnsavedChangeConfirmation.Discard,Discard,Jeter,False
MainMenu.Editor.UnsavedNewConfirmation,This {0} has not been saved. Save before continuing?,Ce {0} n'a pas été enregistré. Enregistrer avant de continuer ?,False
MainMenu.Editor.UnsavedNewConfirmation.Save,Save,Sauvegarder,False
MainMenu.Editor.Layers,Layers,Calques,False
MainMenu.Editor.LayerProperties,Properties,Propriétés,False
MainMenu.Editor.ModelProperties,Model Properties,Propriétés du modèle,False
MainMenu.Editor.TextProperty.Text,Text,Texte,False
MainMenu.Editor.TextProperty.Font,Font,Fonte,False
MainMenu.Editor.TextProperty.Size,Size,Taille,False
MainMenu.Editor.TextProperty.PositionX,Position X,Poste X,False
MainMenu.Editor.TextProperty.PositionY,Position Y,Poste Y,False
MainMenu.Editor.TextProperty.Rotation,Rotation,Rotation,False
MainMenu.Editor.TextProperty.CharacterSpacing,Character Spacing,Espacement des caractères,False
MainMenu.Editor.TextProperty.LineSpacing,Line Spacing,Espacement des lignes,False
MainMenu.Editor.TextProperty.Outline,Outline,Contour,False
MainMenu.Editor.TextProperty.OutlineThickness,Thickness,Épaisseur,False
MainMenu.Editor.TextProperty.Underlay,Underlay,Thibaude,False
MainMenu.Editor.TextProperty.UnderlayDilate,Dilate,Dilater,False
MainMenu.Editor.TextProperty.UnderlayOffsetX,Offset X,Décalage X,False
MainMenu.Editor.TextProperty.UnderlayOffsetY,Offset Y,Décalage Y,False
MainMenu.Editor.LayerType.Model,Model,Modèle,False
MainMenu.Editor.LayerType.Image,Image,Image,False
MainMenu.Editor.LayerType.Text,Text,Texte,False
MainMenu.Editor.Playback,Playback,Lecture,False
MainMenu.Editor.SceneList,Scene List,Liste des scènes,False
MainMenu.Editor.Scenes,Scenes,Scènes,False
MainMenu.Editor.ExportAllScenes,Export All Scenes,Exporter toutes les scènes,False
MainMenu.Editor.SceneListExport.Title,Exporting scene list,Exportation de la liste des scènes,False
MainMenu.Editor.SceneListExport.Preparing,Preparing export...,Préparation de l'exportation...,False
MainMenu.Editor.SceneListExport.Progress,Exporting {0}/{1}: {2},Exportation de {0}/{1} : {2},False
MainMenu.Editor.SceneListExport.Failed,Export failed,Échec de l'exportation,False
MainMenu.Editor.SceneListExport.Finished,Export finished,Exportation terminée,False
MainMenu.Editor.SceneListExport.Cancelled,Export cancelled,Exportation annulée,False
MainMenu.Editor.SceneListExport.Complete,Export complete,Exportation terminée,False
MainMenu.Editor.SceneListExport.CompleteExclamation,Export complete!,Exportation terminée !,False
MainMenu.Editor.SceneListExport.CancelledSummary,"Export cancelled ({0}/{1} exported, {2} failed).","Exportation annulée ({0}/{1} exportés, {2} a échoué).",False
MainMenu.Editor.SceneListExport.CancelledWithFailures,"Export complete ({0}/{1} exported, {2} failed).","Exportation terminée ({0}/{1} exportés, {2} a échoué).",False
MainMenu.Editor.SceneListExport.CompleteWithFailures,"Export complete ({0}/{1} exported, {2} failed).","Exportation terminée ({0}/{1} exportés, {2} a échoué).",False
MainMenu.Editor.SceneListExport.ErrorMessage,Error: {0},Erreur : {0},False
MainMenu.Editor.OpenExportLocation,Open Export Location,Ouvrir l'emplacement d'exportation,False
MainMenu.Editor.CameraProperties,Camera Properties,Propriétés de la caméra,False
MainMenu.Editor.CameraProperty.PositionX,Position X,Poste X,False
MainMenu.Editor.CameraProperty.PositionY,Position Y,Poste Y,False
MainMenu.Editor.CameraProperty.Size,Size,Taille,False
MainMenu.Editor.CameraProperty.Rotation,Rotation,Rotation,False
MainMenu.Editor.ModelProperty.Mirror,Mirror,Miroir,False
MainMenu.Editor.ModelProperty.Outline,Outline,Contour,False
MainMenu.Editor.ModelProperty.OutlineThickness,Thickness,Épaisseur,False
MainMenu.Settings.ExportSettings.Quality,Quality,Qualité,False
MainMenu.Settings.ExportSettings.LoopCount,Loop Count,Nombre de boucles,False
MainMenu.Settings.ExportSettings.Lossless,Lossless,Sans perte,False
MainMenu.Settings.ExportSettings.WebPQualityInfo,"With Lossless on, higher quality means a smaller file and slower encode. Looks stay the same. With Lossless off, higher quality means better looks and a larger file.","Avec Lossless activé, une qualité supérieure signifie un fichier plus petit et un encodage plus lent. L'apparence reste la même. Lorsque Lossless est désactivé, une qualité supérieure signifie une meilleure apparence et un fichier plus volumineux.",False
MainMenu.Settings.ExportSettings.WebPLoopCountInfo,How many times the animation repeats. 0 = loop forever.,Combien de fois l'animation se répète. 0 = boucle pour toujours.,False
MainMenu.Settings.ExportSettings.WebmInfo,"VP9, BT.709, Full Range color","VP9, BT.709, gamme complète de couleurs",False
MainMenu.Settings.ExportSettings.WebmCQLevel,CQ Level,Niveau CQ,False
MainMenu.Settings.ExportSettings.WebmCQLevelInfo,"lower CQ Level means bigger file, better quality; higher CQ Level means more compression, smaller file, worse quality","Un niveau CQ inférieur signifie un fichier plus gros, une meilleure qualité ; Un niveau CQ plus élevé signifie plus de compression, un fichier plus petit et une qualité inférieure",False
MainMenu.Settings.ExportSettings.WebmSpeed,Speed,Vitesse,False
MainMenu.Settings.ExportSettings.WebmSpeedInfo,"Lower speed means slower encode, better quality and usually smaller file","Une vitesse inférieure signifie un encodage plus lent, une meilleure qualité et un fichier généralement plus petit",False
MainMenu.Workshop.ItemType.All,All Types,Tous types,False
MainMenu.Workshop.ItemType.Model,Model,Modèle,False
MainMenu.Workshop.ItemType.Character,Character,Personnage,False
MainMenu.Workshop.ItemType.Unknown,Unknown,Inconnu,False
MainMenu.Workshop.Tab.Browse,Browse,Parcourir,False
MainMenu.Workshop.Tab.Subscribed,Subscribed,Abonné,False
MainMenu.Workshop.Tab.Published,Published,Publié,False
MainMenu.Workshop.Badge.Subscribed,Subscribed,Abonné,False
MainMenu.Workshop.Author.Loading,Loading...,Chargement...,False
MainMenu.Workshop.Author.Unknown,Unknown,Inconnu,False
MainMenu.Workshop.Pager.FirstPage,First page,Première page,False
MainMenu.Workshop.Pager.PreviousPage,Previous page,Page précédente,False
MainMenu.Workshop.Pager.NextPage,Next page,Page suivante,False
MainMenu.Workshop.Pager.LastPage,Last page,Dernière page,False
MainMenu.Workshop.Pager.Summary,Page {0} of {1} ({2} items),Page {0} sur {1} ({2} éléments),False
MainMenu.Workshop.Status.Loading,Loading Workshop items...,Chargement des éléments de l'atelier...,False
MainMenu.Workshop.Status.SteamNotRunning,Steam is not running. Start EmoteLab through Steam to browse the Workshop.,Steam ne fonctionne pas. Démarrez EmoteLab via Steam pour parcourir l'atelier.,False
MainMenu.Workshop.Status.CouldNotLoad,Could not load Workshop items.,Impossible de charger les éléments de l'atelier.,False
MainMenu.Workshop.Status.NoMoreResults,No more results are available from Steam.,Aucun autre résultat n'est disponible sur Steam.,False
MainMenu.Workshop.Status.NoMatches,No Workshop items matched your search.,Aucun élément de l'atelier ne correspond à votre recherche.,False
MainMenu.Workshop.Status.NotSubscribedToAny,You are not subscribed to any matching Workshop items.,Vous n'êtes abonné à aucun élément d'atelier correspondant.,False
MainMenu.Workshop.Status.NotPublishedAny,You have not published any matching Workshop items.,Vous n'avez publié aucun élément d'atelier correspondant.,False
MainMenu.Workshop.Status.QueryAlreadyRunning,Another Workshop query is already running.,Une autre requête Workshop est déjà en cours d’exécution.,False
MainMenu.Workshop.Status.QueryRefused,Steam refused the Workshop query request.,Steam a refusé la demande de requête de l'atelier.,False
MainMenu.Workshop.Status.QueryFailed,Workshop query failed: {0},Échec de la requête de l'atelier : {0},False
MainMenu.Workshop.ItemPopup.Header,Workshop Item,Objet d'atelier,False
MainMenu.Workshop.ItemPopup.Author,Author,Auteur,False
MainMenu.Workshop.ItemPopup.Type,Type,Taper,False
MainMenu.Workshop.ItemPopup.Size,Size,Taille,False
MainMenu.Workshop.ItemPopup.Posted,Posted,Publié,False
MainMenu.Workshop.ItemPopup.Updated,Updated,Mis à jour,False
MainMenu.Workshop.ItemPopup.NotEnoughRatings,Not enough ratings,Pas assez de notes,False
MainMenu.Workshop.ItemPopup.Subscribe,Subscribe,S'abonner,False
MainMenu.Workshop.ItemPopup.Unsubscribe,Unsubscribe,Se désabonner,False
MainMenu.Workshop.ItemPopup.OpenInBrowser,Open in Browser,Ouvrir dans le navigateur,False
MainMenu.Workshop.ItemPopup.Close,Close,Fermer,False
MainMenu.Workshop.ItemPopup.Status.SubmittingRating,Submitting rating...,Envoi de la note...,False
MainMenu.Workshop.ItemPopup.Status.RateFailed,Failed to rate this item.,Échec de l'évaluation de cet article.,False
MainMenu.Workshop.ItemPopup.Status.RatingSubmitted,Rating submitted.,Note soumise.,False
MainMenu.Workshop.ItemPopup.Status.Subscribing,Subscribing...,S'abonner...,False
MainMenu.Workshop.ItemPopup.Status.Unsubscribing,Unsubscribing...,Désabonnement...,False
MainMenu.Workshop.ItemPopup.Status.SubscribeFailed,Failed to subscribe to this item.,Échec de l'abonnement à cet article.,False
MainMenu.Workshop.ItemPopup.Status.UnsubscribeFailed,Failed to unsubscribe from this item.,Échec de la désinscription de cet élément.,False
MainMenu.Workshop.ItemPopup.Status.Subscribed,Subscribed.,Abonné.,False
MainMenu.Workshop.ItemPopup.Status.Unsubscribed,Unsubscribed. The item will be removed by Steam.,Désabonné. L'élément sera supprimé par Steam.,False
