Key,en,ja,reviewed
MainMenu.Editor.OpenExportFolder,Open Export Folder,書き出しフォルダを開く,True
MainMenu.Settings.ModelSettings.LoadSampleCharacters,Load Sample Characters for Built-in Models,組み込みモデルのサンプルキャラクターを読み込む,True
MainMenu.Settings.ModelSettings,Model Settings,モデル設定,True
MainMenu.Editor.CharacterPopup.SavingCharacter,Saving Character Data...,キャラクターデータを保存中…,True
MainMenu.Editor.CharacterPopup.LoadingCharacter,Loading Character...,キャラクターを読み込み中…,True
MainMenu.Info.ThirdPartyLicense,Third Party Licenses,外部ライセンス,True
MainMenu.Info.EmoteLabEULA,End User License Agreement (EULA),エンドユーザーライセンス契約（EULA）,True
MainMenu.Info.Documentation,Documentation,ドキュメント,True
MainMenu.Info.Discord,Join Our Discord,Discordに参加,True
MainMenu.Settings.ExportSettings.PresetsInfo,"This preset sets the correct format and dimensions. Very long animations may exceed platform file size limits, and some platforms restrict certain content.",このプリセットは適切な形式とサイズを設定します。非常に長いアニメーションはプラットフォームのファイルサイズ制限を超える場合があります。また、一部のプラットフォームでは特定のコンテンツが制限される場合があります。,True
MainMenu.Settings.ModelSettings.OpenLocalModelFolder,Open Local Model Folder,ローカルモデルフォルダを開く,True
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,キャラクターフォルダを開く,True
MainMenu.Info.Log,Open Log Folder,ログフォルダを開く,True
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,グローバルカラーテーブルを使用,True
MainMenu.Editor.ExportStatic,Export Static Image,静止画像を書き出し,True
MainMenu.Editor.Player.Speed,Speed,速度,True
MainMenu.Settings.StaticImageSettings,Static Image Settings,静止画設定,True
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,静止画設定をリセット,True
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,サンプリングレート,True
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,この操作で初期テクスチャとカスタムテクスチャを切り替えられます,True
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,Custom Textureフォルダ内のPNGを編集してください。透過状態で保存し、画像サイズは変更しないでください,True
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.",編集を保存した後、このボタンを押すとモデルに変更が適用されます,True
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,キャラクターを保存してください。保存ボタンは画面左側のキャラクターリストの下にあります,True
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,この機能を使用する前に「カスタムテクスチャの使用」マニュアルを確認してください,True
MainMenu.Editor.Texture.CustomTexture,Custom Texture,カスタムテクスチャ,True
MainMenu.Editor.Texture.Step1,Step 1,ステップ 1,True
MainMenu.Editor.Texture.Step2,Step 2,ステップ 2,True
MainMenu.Editor.Texture.Step3,Step 3,ステップ 3,True
MainMenu.Editor.Texture.Step4,Step 4,ステップ 4,True
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,選択した輪郭を修正,True
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,選択したアトラスをリセット,True
MainMenu.Editor.Texture.TextureUtility,Texture Utility,テクスチャツール,True
MainMenu.Editor.Texture.SelectAll,Select All,すべて選択,True
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,選択を切り替え,True
MainMenu.Editor.Texture.AtlasList,Atlas List,アトラス一覧,True
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,選択したアトラスページを初期状態にリセットします。未保存の編集は失われ、復元できません。続行しますか？,True
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,パレットアルゴリズム,True
MainMenu.Editor.Texture.AlphaBleedWarning,This will overwrite the selected texture files and cannot be undone. Continue?,選択したテクスチャファイルを上書きします。この操作は元に戻せません。続行しますか？,True
MainMenu.TranslationInfo.Message,"Some languages are translated by our community or assisted by machine translation, so quality may vary.

You can change the language in Settings.

See our {0}.

Want to contribute? Join us on {1}.","一部の言語はコミュニティによる翻訳、または機械翻訳の支援を受けた翻訳のため、品質にばらつきがある場合があります。

言語は設定で変更できます。

{0} をご覧ください。

翻訳に参加したい場合は、{1} にご参加ください。",False
MainMenu.TranslationInfo.ContributorsLinkLabel,community contributors on GitHub,GitHub のコミュニティ貢献者,False
MainMenu.TranslationInfo.DontShowAgain,Don't show this again,今後表示しない,True
MainMenu.Editor.AssetTypeWS,Workshop,ワークショップ,False
MainMenu.Editor.WorkshopPublishPopup.Title.Model,Publish Model to Workshop,モデルをワークショップに公開する,False
MainMenu.Editor.WorkshopPublishPopup.Title.Character,Publish Character to Workshop,キャラクターをワークショップに公開する,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode,Upload mode,アップロードモード,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.CreateNew,Create new item,新しいアイテムを作成する,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.UpdateExisting,Update existing item,既存のアイテムを更新する,False
MainMenu.Editor.WorkshopPublishPopup.ItemtoUpdate,Item to update,更新する項目,False
MainMenu.Editor.WorkshopPublishPopup.Field.Title,Title,タイトル,False
MainMenu.Editor.WorkshopPublishPopup.Field.Description,Description,説明,False
MainMenu.Editor.WorkshopPublishPopup.Field.Visibility,Visibility,可視性,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Public,Public,公共,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.FriendsOnly,Friends Only,友達限定,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Private,Private,プライベート,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Unlisted,Unlisted,非上場,False
MainMenu.Editor.WorkshopPublishPopup.Field.ChangeNote,Change note,変更メモ,False
MainMenu.Editor.WorkshopPublishPopup.Field.RequiredItems,Required Items (PublishedFileIds),必須項目 (PublishedFileIds),False
MainMenu.Editor.WorkshopPublishPopup.Field.PreviewImagePath,Preview image (PNG/JPG path),プレビュー画像 (PNG/JPG パス),False
MainMenu.Editor.WorkshopPublishPopup.Button.Publish,Publish,公開,False
MainMenu.Editor.WorkshopPublishPopup.Button.Cancel,Cancel,キャンセル,False
MainMenu.Editor.WorkshopPublishPopup.Picker.Loading,(loading...),(読み込み中...),False
MainMenu.Editor.WorkshopPublishPopup.Picker.NoPublishedItems,(no published items),(掲載アイテムはありません),False
MainMenu.Editor.WorkshopPublishPopup.Picker.SteamNotReady,(Steam not ready),(スチームの準備ができていません),False
MainMenu.Editor.WorkshopPublishPopup.Status.WaitingForSteamMetadata,Waiting for Steam metadata...,Steam メタデータを待っています...,False
MainMenu.Editor.WorkshopPublishPopup.Status.SelectItemToUpdate,Select a published Workshop item to update.,更新する公開済みのワークショップ アイテムを選択します。,False
MainMenu.Editor.WorkshopPublishPopup.Status.TitleRequired,Title is required.,タイトルは必須です。,False
MainMenu.Editor.WorkshopPublishPopup.Status.FixPreviewBeforePublishing,Fix the preview image before publishing.,公開する前にプレビュー画像を修正してください。,False
MainMenu.Editor.WorkshopPublishPopup.Status.CreatingItem,Creating Workshop item...,ワークショップアイテムを作成中...,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadingItem,Uploading Workshop item...,ワークショップアイテムをアップロードしています...,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewNotFound,Preview image file not found.,プレビュー画像ファイルが見つかりません。,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewInvalidFormat,"Preview image must be a PNG, JPG, or GIF.",プレビュー画像は PNG、JPG、または GIF である必要があります。,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewTooLarge,Preview image must be 1 MB or smaller (currently {0} KB).,プレビュー画像は 1 MB 以下である必要があります (現在は {0} KB)。,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewReadFailed,Failed to read preview image: {0},プレビュー画像の読み取りに失敗しました: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewDecodeFailed,Preview image could not be decoded.,プレビュー画像をデコードできませんでした。,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdInvalid,Required PublishedFileId is invalid: {0},必須の PublishedFileId が無効です: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.SteamNotInitialized,Steam is not initialized.,Steamが初期化されていません。,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadSucceeded,Workshop item uploaded: {0},ワークショップ アイテムがアップロードされました: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.TempFolderModified,Publish staging files were modified. Close this dialog and publish again.,パブリッシュステージングファイルが変更されました。このダイアログを閉じて、再度公開します。,False
MainMenu.Editor.WorkshopPublishPopup.Status.ValidatingRequiredItems,Verifying required Workshop items...,ワークショップに必要なアイテムを確認しています...,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdsQueryFailed,Failed to verify required Workshop items.,ワークショップに必要なアイテムを確認できませんでした。,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdNotFound,Workshop item {0} was not found or is not accessible.,ワークショップ アイテム {0} が見つからないか、アクセスできません。,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdWrongApp,Workshop item {0} does not belong to this app.,ワークショップ アイテム {0} はこのアプリに属していません。,False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureFailed,Viewport capture failed: {0},ビューポートのキャプチャに失敗しました: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureSucceeded,Preview captured from viewport.,ビューポートからキャプチャされたプレビュー。,False
MainMenu.Editor.FileNameValidation.Label.Character,Character name,キャラクター名,False
MainMenu.Editor.FileNameValidation.Label.Scene,Scene name,シーン名,False
MainMenu.Editor.FileNameValidation.Label.SceneList,Scene list name,シーンリスト名,False
MainMenu.Editor.FileNameValidation.Empty,{0} cannot be empty.,{0} を空にすることはできません。,False
MainMenu.Editor.FileNameValidation.TooLong,{0} cannot exceed {1} characters.,{0} は {1} 文字を超えることはできません。,False
MainMenu.Editor.FileNameValidation.InvalidCharacter,{0} cannot contain '{1}'.,{0} に「{1}」を含めることはできません。,False
MainMenu.Editor.FileNameValidation.WindowsReserved,'{1}' is a reserved name and cannot be used.,'{1}' は予約された名前なので使用できません。,False
MainMenu.Editor.FileNameValidation.AppReserved,'{1}' is reserved and cannot be used as {0}.,「{1}」は予約されているため、{0} として使用できません。,False
MainMenu.Editor.FileNameValidation.EndsWithDot,{0} cannot end with a dot.,{0} をドットで終わらせることはできません。,False
MainMenu.Editor.FileNameValidation.DuplicateInList,A {0} with this name already exists in the list.,この名前の {0} はリスト内にすでに存在します。,False
MainMenu.Editor.Confirmation.Label.Character,Character,キャラクター,False
MainMenu.Editor.Confirmation.Label.Scene,Scene,シーン,False
MainMenu.Editor.Confirmation.Label.SceneList,Scene list,シーンリスト,False
MainMenu.Editor.DeleteConfirmation,"Are you sure you want to delete {0} ""{1}""? This action cannot be undone.",{0}「{1}」を削除してもよろしいですか?この操作は元に戻すことができません。,False
MainMenu.Editor.OverwriteExistingConfirmation,"{0} ""{1}"" already exist. Are you sure you want to overwrite {0} ""{1}""? This action cannot be undone.",{0}「{1}」はすでに存在します。 {0}「{1}」を上書きしてもよろしいですか?この操作は元に戻すことができません。,False
MainMenu.Editor.OverwriteSelectedConfirmation,"A {0} ""{1}"" is selected. Overwrite it or Create a new entry?",{0}「{1}」が選択されています。上書きしますか、それとも新しいエントリを作成しますか?,False
MainMenu.Editor.OverwriteConfirmation.Overwrite,Overwrite,上書き,False
MainMenu.Editor.OverwriteConfirmation.CreateNew,Create New,新規作成,False
MainMenu.Editor.UnsavedChangeConfirmation,"{0} ""{1}"" has unsaved changes. Apply before continuing?",{0}「{1}」には未保存の変更があります。続行する前に申請しますか?,False
MainMenu.Editor.UnsavedChangeConfirmation.Apply,Apply,適用する,False
MainMenu.Editor.UnsavedChangeConfirmation.Discard,Discard,破棄,False
MainMenu.Editor.UnsavedNewConfirmation,This {0} has not been saved. Save before continuing?,この {0} は保存されていません。続行する前に保存しますか?,False
MainMenu.Editor.UnsavedNewConfirmation.Save,Save,保存,False
MainMenu.Editor.Layers,Layers,レイヤー,False
MainMenu.Editor.LayerProperties,Properties,プロパティ,False
MainMenu.Editor.ModelProperties,Model Properties,モデルのプロパティ,False
MainMenu.Editor.TextProperty.Text,Text,文章,False
MainMenu.Editor.TextProperty.Font,Font,フォント,False
MainMenu.Editor.TextProperty.Size,Size,サイズ,False
MainMenu.Editor.TextProperty.PositionX,Position X,位置X,False
MainMenu.Editor.TextProperty.PositionY,Position Y,位置Y,False
MainMenu.Editor.TextProperty.Rotation,Rotation,回転,False
MainMenu.Editor.TextProperty.CharacterSpacing,Character Spacing,文字間隔,False
MainMenu.Editor.TextProperty.LineSpacing,Line Spacing,行間,False
MainMenu.Editor.TextProperty.Outline,Outline,概要,False
MainMenu.Editor.TextProperty.OutlineThickness,Thickness,厚さ,False
MainMenu.Editor.TextProperty.Underlay,Underlay,下敷き,False
MainMenu.Editor.TextProperty.UnderlayDilate,Dilate,拡張する,False
MainMenu.Editor.TextProperty.UnderlayOffsetX,Offset X,オフセット X,False
MainMenu.Editor.TextProperty.UnderlayOffsetY,Offset Y,オフセットY,False
MainMenu.Editor.LayerType.Model,Model,モデル,False
MainMenu.Editor.LayerType.Image,Image,画像,False
MainMenu.Editor.LayerType.Text,Text,文章,False
MainMenu.Editor.Playback,Playback,再生,False
MainMenu.Editor.SceneList,Scene List,シーンリスト,False
MainMenu.Editor.Scenes,Scenes,シーン,False
MainMenu.Editor.ExportAllScenes,Export All Scenes,すべてのシーンをエクスポート,False
MainMenu.Editor.SceneListExport.Title,Exporting scene list,シーンリストをエクスポートする,False
MainMenu.Editor.SceneListExport.Preparing,Preparing export...,エクスポートを準備しています...,False
MainMenu.Editor.SceneListExport.Progress,Exporting {0}/{1}: {2},{0}/{1} をエクスポートしています: {2},False
MainMenu.Editor.SceneListExport.Failed,Export failed,エクスポートに失敗しました,False
MainMenu.Editor.SceneListExport.Finished,Export finished,エクスポートが完了しました,False
MainMenu.Editor.SceneListExport.Cancelled,Export cancelled,エクスポートがキャンセルされました,False
MainMenu.Editor.SceneListExport.Complete,Export complete,エクスポートが完了しました,False
MainMenu.Editor.SceneListExport.CompleteExclamation,Export complete!,エクスポートが完了しました！,False
MainMenu.Editor.SceneListExport.CancelledSummary,"Export cancelled ({0}/{1} exported, {2} failed).",エクスポートがキャンセルされました ({0}/{1} がエクスポートされました、{2} が失敗しました)。,False
MainMenu.Editor.SceneListExport.CancelledWithFailures,"Export complete ({0}/{1} exported, {2} failed).",エクスポートが完了しました ({0}/{1} がエクスポートされました、{2} が失敗しました)。,False
MainMenu.Editor.SceneListExport.CompleteWithFailures,"Export complete ({0}/{1} exported, {2} failed).",エクスポートが完了しました ({0}/{1} がエクスポートされました、{2} が失敗しました)。,False
MainMenu.Editor.SceneListExport.ErrorMessage,Error: {0},エラー: {0},False
MainMenu.Editor.OpenExportLocation,Open Export Location,エクスポート場所を開く,False
MainMenu.Editor.CameraProperties,Camera Properties,カメラのプロパティ,False
MainMenu.Editor.CameraProperty.PositionX,Position X,位置X,False
MainMenu.Editor.CameraProperty.PositionY,Position Y,位置Y,False
MainMenu.Editor.CameraProperty.Size,Size,サイズ,False
MainMenu.Editor.CameraProperty.Rotation,Rotation,回転,False
MainMenu.Editor.ModelProperty.Mirror,Mirror,鏡,False
MainMenu.Editor.ModelProperty.Outline,Outline,概要,False
MainMenu.Editor.ModelProperty.OutlineThickness,Thickness,厚さ,False
MainMenu.Settings.ExportSettings.Quality,Quality,品質,False
MainMenu.Settings.ExportSettings.LoopCount,Loop Count,ループ数,False
MainMenu.Settings.ExportSettings.Lossless,Lossless,ロスレス,False
MainMenu.Settings.ExportSettings.WebPQualityInfo,"With Lossless on, higher quality means a smaller file and slower encode. Looks stay the same. With Lossless off, higher quality means better looks and a larger file.",ロスレスをオンにすると、品質が高くなるとファイルが小さくなり、エンコードが遅くなります。見た目は変わりません。ロスレスをオフにすると、品質が高くなると見た目も良くなり、ファイルが大きくなります。,False
MainMenu.Settings.ExportSettings.WebPLoopCountInfo,How many times the animation repeats. 0 = loop forever.,アニメーションが繰り返される回数。 0 = 永久ループ。,False
MainMenu.Settings.ExportSettings.WebmInfo,"VP9, BT.709, Full Range color",VP9、BT.709、フルレンジカラー,False
MainMenu.Settings.ExportSettings.WebmCQLevel,CQ Level,CQレベル,False
MainMenu.Settings.ExportSettings.WebmCQLevelInfo,"lower CQ Level means bigger file, better quality; higher CQ Level means more compression, smaller file, worse quality",CQ レベルが低いほど、ファイルが大きくなり、品質が高くなります。 CQ レベルが高いと、圧縮率が高くなり、ファイルが小さくなり、品質が低下します,False
MainMenu.Settings.ExportSettings.WebmSpeed,Speed,スピード,False
MainMenu.Settings.ExportSettings.WebmSpeedInfo,"Lower speed means slower encode, better quality and usually smaller file",速度が低いとエンコードが遅くなり、品質が向上し、通常はファイルが小さくなります,False
MainMenu.Workshop.ItemType.All,All Types,全種類,False
MainMenu.Workshop.ItemType.Model,Model,モデル,False
MainMenu.Workshop.ItemType.Character,Character,キャラクター,False
MainMenu.Workshop.ItemType.Unknown,Unknown,未知,False
MainMenu.Workshop.Tab.Browse,Browse,ブラウズ,False
MainMenu.Workshop.Tab.Subscribed,Subscribed,購読済み,False
MainMenu.Workshop.Tab.Published,Published,発行済み,False
MainMenu.Workshop.Badge.Subscribed,Subscribed,購読済み,False
MainMenu.Workshop.Author.Loading,Loading...,読み込み中...,False
MainMenu.Workshop.Author.Unknown,Unknown,未知,False
MainMenu.Workshop.Pager.FirstPage,First page,最初のページ,False
MainMenu.Workshop.Pager.PreviousPage,Previous page,前のページへ,False
MainMenu.Workshop.Pager.NextPage,Next page,次のページ,False
MainMenu.Workshop.Pager.LastPage,Last page,最後のページ,False
MainMenu.Workshop.Pager.Summary,Page {0} of {1} ({2} items),ページ {0}/{1} ({2} 個のアイテム),False
MainMenu.Workshop.Status.Loading,Loading Workshop items...,ワークショップアイテムを読み込み中...,False
MainMenu.Workshop.Status.SteamNotRunning,Steam is not running. Start EmoteLab through Steam to browse the Workshop.,スチームが作動していません。 Steam から EmoteLab を起動してワークショップを参照します。,False
MainMenu.Workshop.Status.CouldNotLoad,Could not load Workshop items.,ワークショップアイテムをロードできませんでした。,False
MainMenu.Workshop.Status.NoMoreResults,No more results are available from Steam.,Steam からはこれ以上の結果は得られません。,False
MainMenu.Workshop.Status.NoMatches,No Workshop items matched your search.,検索に一致するワークショップ アイテムはありませんでした。,False
MainMenu.Workshop.Status.NotSubscribedToAny,You are not subscribed to any matching Workshop items.,一致するワークショップ アイテムを購読していません。,False
MainMenu.Workshop.Status.NotPublishedAny,You have not published any matching Workshop items.,一致するワークショップ アイテムを公開していません。,False
MainMenu.Workshop.Status.QueryAlreadyRunning,Another Workshop query is already running.,別のワークショップ クエリがすでに実行されています。,False
MainMenu.Workshop.Status.QueryRefused,Steam refused the Workshop query request.,Steam はワークショップのクエリリクエストを拒否しました。,False
MainMenu.Workshop.Status.QueryFailed,Workshop query failed: {0},ワークショップのクエリが失敗しました: {0},False
MainMenu.Workshop.ItemPopup.Header,Workshop Item,ワークショップアイテム,False
MainMenu.Workshop.ItemPopup.Author,Author,著者,False
MainMenu.Workshop.ItemPopup.Type,Type,タイプ,False
MainMenu.Workshop.ItemPopup.Size,Size,サイズ,False
MainMenu.Workshop.ItemPopup.Posted,Posted,投稿しました,False
MainMenu.Workshop.ItemPopup.Updated,Updated,更新されました,False
MainMenu.Workshop.ItemPopup.NotEnoughRatings,Not enough ratings,評価が足りません,False
MainMenu.Workshop.ItemPopup.Subscribe,Subscribe,購読する,False
MainMenu.Workshop.ItemPopup.Unsubscribe,Unsubscribe,購読を解除する,False
MainMenu.Workshop.ItemPopup.OpenInBrowser,Open in Browser,ブラウザで開く,False
MainMenu.Workshop.ItemPopup.Close,Close,近い,False
MainMenu.Workshop.ItemPopup.Status.SubmittingRating,Submitting rating...,評価を送信中...,False
MainMenu.Workshop.ItemPopup.Status.RateFailed,Failed to rate this item.,このアイテムを評価できませんでした。,False
MainMenu.Workshop.ItemPopup.Status.RatingSubmitted,Rating submitted.,評価が送信されました。,False
MainMenu.Workshop.ItemPopup.Status.Subscribing,Subscribing...,購読中...,False
MainMenu.Workshop.ItemPopup.Status.Unsubscribing,Unsubscribing...,購読を解除しています...,False
MainMenu.Workshop.ItemPopup.Status.SubscribeFailed,Failed to subscribe to this item.,このアイテムを購読できませんでした。,False
MainMenu.Workshop.ItemPopup.Status.UnsubscribeFailed,Failed to unsubscribe from this item.,このアイテムの購読を解除できませんでした。,False
MainMenu.Workshop.ItemPopup.Status.Subscribed,Subscribed.,購読しました。,False
MainMenu.Workshop.ItemPopup.Status.Unsubscribed,Unsubscribed. The item will be removed by Steam.,購読を解除しました。アイテムは Steam によって削除されます。,False
